id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_absolute1_04_e_1,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_1,False,eunhwa_t,1,idle,BlackPuddle,black,black,1.0,bgm_story_devastat,,,,,,,,
event_absolute1_04_e_2,40086,event_absolute1_04_e,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_2,False,,1,idle,,1,10,1.3,,eunhwa_t,,,,,,,
event_absolute1_04_e_3,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_3,False,,1,idle,,black,black,1.0,,,sfx_scn_c092_fire,,,,,,
event_absolute1_04_e_4,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_4,False,,1,idle,,black,black,1.0,,,,,,,,,
event_absolute1_04_e_5,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_5,False,,1,idle,,black,black,1.0,,,,,,,,,
event_absolute1_04_e_6,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_6,False,,1,idle,,black,black,1.0,,,,,,,,,
event_absolute1_04_e_7,40086,event_absolute1_04_e,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_7,True,,1,idle,,10,10,1.0,,eunhwa_t,,,,,,,
event_absolute1_04_e_8,40086,event_absolute1_04_e,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_8,True,,1,idle,,10,10,1.0,,eunhwa_t,,,,,,,
event_absolute1_04_e_9,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_9,False,,1,idle,,black,black,1.0,,,,,,,,,
event_absolute1_04_e_10,40086,event_absolute1_04_e,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_10,True,,1,idle,,10,1,1.3,,eunhwa_t,,,,,,,
event_absolute1_04_e_11,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_11,False,,1,idle,,1,1,1.0,,,,,,,,,
event_absolute1_04_e_12,40086,event_absolute1_04_e,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_12,False,,1,angry,,1,1,1.0,,eunhwa_t,,,,,,,
event_absolute1_04_e_13,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_13,False,,1,angry,,1,1,1.0,,,,,,,,,
event_absolute1_04_e_14,40086,event_absolute1_04_e,Narration,eunhwa_t,Locale_MainScenario:event_absolute1_04_e_14,False,,1,angry,,1,1,1.0,,,,,,,,,
