id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,set_camera_shake,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_jinxplayer_06_e_1,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_1,True,rouge,3,idle,fancyfemale,1,idle,CoinRushMainHall,2,2,1.0,none,,,,,,,,,,,,,
event_jinxplayer_06_e_2,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_2,True,,3,idle,,1,idle,,2,2,1.0,bgm_frostpillar,,,,,,,,,,,,,
event_jinxplayer_06_e_3,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_3,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_4,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_4,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_5,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_5,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_6,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_6,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_7,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_7,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_8,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_8,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_9,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_9,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_10,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_10,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_11,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_11,True,,3,think,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_12,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_12,True,,3,think,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_13,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_13,True,,3,think,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_14,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_14,True,,3,think,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_15,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_15,False,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_16,40058,event_jinxplayer_06_e,Narration,,Narration,Locale_SubScenario:event_jinxplayer_06_e_16,False,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_17,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_17,True,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_18,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_18,True,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_19,40058,event_jinxplayer_06_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_06_e_19,False,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_20,40058,event_jinxplayer_06_e,Speech,mc,mc,Locale_SubScenario:event_jinxplayer_06_e_20,True,,3,sad,,1,idle,,17,17,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_21,40058,event_jinxplayer_06_e,Speech,mc,mc,Locale_SubScenario:event_jinxplayer_06_e_21,True,,3,sad,,1,idle,,17,170,0.3,,,,,,,,,,,,,,
event_jinxplayer_06_e_22,40058,event_jinxplayer_06_e,Narration,rouge,Narration,Locale_SubScenario:event_jinxplayer_06_e_22,False,,3,sad,,1,idle,,170,170,1.0,,sfx_scn_roulette,,,,,,,,,,,,
event_jinxplayer_06_e_23,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_23,True,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
event_jinxplayer_06_e_24,40058,event_jinxplayer_06_e,Speech,fancyfemale,fancyfemale,Locale_SubScenario:event_jinxplayer_06_e_24,True,,3,sad,,1,idle,,2,2,1.0,,,,,,,,,,,,,,
