id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_newflavor_03_s_1,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_1,True,Park,12,12,1.0,none,,,,,,,bready,1,sad,crust,13,idle
event_newflavor_03_s_2,40073,event_newflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_s_2,True,,12,12,1.0,,,,,,,,,1,sad,,13,idle
event_newflavor_03_s_3,40073,event_newflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_s_3,True,,12,12,1.0,,,,,,,,,1,sad,,13,idle
event_newflavor_03_s_4,40073,event_newflavor_03_s,Self,crust,,Locale_SubScenario:event_newflavor_03_s_4,False,,12,12,1.0,,,,,,,,,1,sad,,13,idle
event_newflavor_03_s_5,40073,event_newflavor_03_s,Self,crust,,Locale_SubScenario:event_newflavor_03_s_5,False,,12,12,1.0,,,,,,,,,1,sad,,13,idle
event_newflavor_03_s_6,40073,event_newflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_s_6,True,,12,12,1.0,,,,,,,,,1,sad,,13,sad
event_newflavor_03_s_7,40073,event_newflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_s_7,True,,12,12,1.0,,,,,,,,,1,sad,,13,sad
event_newflavor_03_s_8,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_8,True,,12,S_10,1.5,bgm_story_fairytalesend_if,,,,,,,,1,no,,13,sad
event_newflavor_03_s_9,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_9,True,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_10,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_10,True,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_11,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_11,True,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_12,40073,event_newflavor_03_s,Self,bready,,Locale_SubScenario:event_newflavor_03_s_12,False,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_13,40073,event_newflavor_03_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_s_13,True,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_14,40073,event_newflavor_03_s,Self,bready,,Locale_SubScenario:event_newflavor_03_s_14,False,,S_10,S_10,1.0,,,,,,,,,1,no,,13,sad
event_newflavor_03_s_15,40073,event_newflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_s_15,True,,S_10,XS_130,1.0,,,,,,,,,1,no,,13,sad
