id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_redash2_02_s_1,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_1,True,liliweiss,1,idle,commander,3,idle,snowwhite_o,5,idle,rapunzel_o,13,idle,dorothy,15,think,hongryeon_o,17,idle,Desert_05,1,10,1.0,none,,,,
event_redash2_02_s_2,40032,event_redash2_02_s,Speech,commander,commander,Locale_MainScenario:event_redash2_02_s_2,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,L_30,L_30,1.0,,,,,
event_redash2_02_s_3,40032,event_redash2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_02_s_3,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,170,170,1.0,,,,,
event_redash2_02_s_4,40032,event_redash2_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_02_s_4,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,170,1517,1.0,,,,,
event_redash2_02_s_5,40032,event_redash2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_02_s_5,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,1517,1517,1.0,,,,,
event_redash2_02_s_6,40032,event_redash2_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_02_s_6,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,1517,1517,1.0,,,,,
event_redash2_02_s_7,40032,event_redash2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_02_s_7,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,1517,1517,1.0,,,,,
event_redash2_02_s_8,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_8,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,10,10,1.0,,,,,
event_redash2_02_s_9,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_9,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,10,10,1.0,event_bgm_redash_ashsmoke,,,,
event_redash2_02_s_10,40032,event_redash2_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_02_s_10,True,,1,idle,,3,idle,,5,idle,,13,think,,15,think,,17,idle,,L_130,L_130,1.0,,,,,
event_redash2_02_s_11,40032,event_redash2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_02_s_11,True,,1,idle,,3,idle,,5,idle,,13,think,,15,think,,17,angry,,170,170,1.0,,,,,
event_redash2_02_s_12,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_12,True,,1,idle,,3,idle,,5,idle,,13,think,,15,think,,17,angry,,10,10,1.0,,,,,
event_redash2_02_s_13,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_13,True,,1,think,,3,idle,,5,idle,,13,think,,15,think,,17,angry,,10,10,1.0,,,,,
event_redash2_02_s_14,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_14,True,,1,think,,3,idle,,5,idle,,13,think,,15,think,,17,idle,,10,10,1.0,,,,,
event_redash2_02_s_15,40032,event_redash2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_02_s_15,True,,1,think,,3,idle,,5,idle,,13,idle,,15,think,,17,idle,,10,100,1.0,,,,,
