id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_juveniledays_05_s_1,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_1,True,marciana,1,think,zwei,13,idle,rei,15,angry,Office,10,10,1.0,bgm_story_crawlinganxiety,,,,,,,,,
event_juveniledays_05_s_2,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_2,True,,1,think,,13,idle,,15,angry,,10,10,1.0,,,,,,,,,,
event_juveniledays_05_s_3,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_3,True,,1,think,,13,idle,,15,angry,,10,14,1.0,,,,,,,,,,
event_juveniledays_05_s_4,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_4,True,,1,think,,13,idle,,15,angry,,14,14,1.0,,,,,,,,,,
event_juveniledays_05_s_5,40053,event_juveniledays_05_s,Speech,rei,rei,Locale_SubScenario:event_juveniledays_05_s_5,True,,1,think,,13,idle,,15,angry,,14,14,1.0,,,,,,,,,,
event_juveniledays_05_s_6,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_6,True,,1,special,,13,idle,,15,angry,,14,10,1.0,,,,,,,,,,
event_juveniledays_05_s_7,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_7,True,,1,special,,13,idle,,15,angry,,10,10,1.0,,,,,,,,,,
event_juveniledays_05_s_8,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_8,True,,1,special,,13,idle,,15,angry,,10,10,1.0,,,,,,,,,,
event_juveniledays_05_s_9,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_9,True,,1,idle,,13,idle,,15,angry,,10,10,1.0,,,,,,,,,,
event_juveniledays_05_s_10,40053,event_juveniledays_05_s,Speech,marciana,marciana,Locale_SubScenario:event_juveniledays_05_s_10,True,,1,idle,,13,idle,,15,angry,,10,10,1.0,,,,,,,,,,
event_juveniledays_05_s_11,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_11,True,,1,idle,,13,idle,,15,angry,,10,14,1.0,,,,,,,,,,
event_juveniledays_05_s_12,40053,event_juveniledays_05_s,Narration,outgoingschoolgirl,,Locale_SubScenario:event_juveniledays_05_s_12,False,,1,idle,,13,idle,,15,idle,Classroom_e,20,20,1.0,none,marciana,sfx_scn_schoolbell,black,,,,,,
event_juveniledays_05_s_13,40053,event_juveniledays_05_s,Speech,outgoingschoolgirl,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_05_s_13,False,,,,,13,idle,,15,idle,,20,20,1.0,bgm_story_orangepop,,,,,,,,,
event_juveniledays_05_s_14,40053,event_juveniledays_05_s,Speech,outgoingschoolgirl,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_05_s_14,False,,,,,13,idle,,15,idle,,20,20,1.0,,,,,,,,,,
event_juveniledays_05_s_15,40053,event_juveniledays_05_s,Speech,generalschoolgirl,generalschoolgirl,Locale_SubScenario:event_juveniledays_05_s_15,False,,,,,13,idle,,15,idle,,20,20,1.0,,,,,,,,,,
event_juveniledays_05_s_16,40053,event_juveniledays_05_s,Speech,generalschoolgirl,generalschoolgirl,Locale_SubScenario:event_juveniledays_05_s_16,False,,,,,13,idle,,15,idle,,20,20,1.0,,,,,,,,,,
event_juveniledays_05_s_17,40053,event_juveniledays_05_s,Speech,outgoingschoolgirl,outgoingschoolgirl,Locale_SubScenario:event_juveniledays_05_s_17,False,,,,,13,idle,,15,idle,,20,20,1.0,,,,,,,,,,
event_juveniledays_05_s_18,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_18,True,,,,,13,idle,,15,idle,,20,10,1.0,,,,,ein,1,delight,,,
event_juveniledays_05_s_19,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_19,True,,,,,13,idle,,15,idle,,10,10,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_20,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_20,True,,,,,13,idle,,15,idle,,10,14,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_21,40053,event_juveniledays_05_s,Speech,rei,rei,Locale_SubScenario:event_juveniledays_05_s_21,True,,,,,13,idle,,15,idle,,14,14,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_22,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_22,True,,,,,13,idle,,15,idle,,14,12,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_23,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_23,True,,,,,13,idle,,15,idle,,12,12,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_24,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_24,True,,,,,13,idle,,15,idle,,12,12,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_25,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_25,True,,,,,13,idle,,15,idle,,12,10,1.0,,,,,,1,idle,,,
event_juveniledays_05_s_26,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_26,True,,,,,13,idle,,15,idle,,10,10,1.0,,,,,,1,idle,,,
event_juveniledays_05_s_27,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_27,True,,,,,13,idle,,15,idle,,10,10,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_28,40053,event_juveniledays_05_s,Speech,ein,ein,Locale_SubScenario:event_juveniledays_05_s_28,True,,,,,13,idle,,15,idle,,10,10,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_29,40053,event_juveniledays_05_s,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_05_s_29,False,,,,,13,idle,,15,surprise,,10,14,1.0,,,,,,1,delight,,,
event_juveniledays_05_s_30,40053,event_juveniledays_05_s,Speech,rei,rei,Locale_SubScenario:event_juveniledays_05_s_30,False,,,,,13,idle,,15,surprise,,14,14,1.0,,,,,,1,delight,,,
