id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/1/hide_char_id,characters/2/hide_char_id
event_goldencoinrush1_01_s_1,40048,event_goldencoinrush1_01_s,Narration,Locale_MainScenario:event_goldencoinrush1_01_s_1,False,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,
event_goldencoinrush1_01_s_2,40048,event_goldencoinrush1_01_s,Narration,Locale_MainScenario:event_goldencoinrush1_01_s_2,False,5,5,1.0,,MaidCafe,sfx_scn_toyshopbell,,,,,,,,,,,,,,
event_goldencoinrush1_01_s_3,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_3,True,5,S_50,1.0,,,,soda,soda,soda,5,idle,cocoa,13,sad,ade,15,worried,,,
event_goldencoinrush1_01_s_4,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_4,True,S_50,S_50,1.0,,,,soda,soda,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_5,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_5,True,S_50,14,1.0,,,,soda,soda,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_6,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_6,True,14,14,1.0,,,,cocoa,cocoa,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_7,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_7,True,14,14,1.0,,,,cocoa,cocoa,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_8,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_8,True,14,14,1.0,,,,ade,ade,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_9,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_9,True,14,14,1.0,,,,ade,ade,,5,idle,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_10,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_10,True,14,12,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_11,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_11,True,12,12,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_12,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_12,True,12,12,1.0,,,,cocoa,cocoa,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_13,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_13,True,12,12,1.0,,,,cocoa,cocoa,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_14,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_14,True,12,XS_130,0.6,,,,cocoa,cocoa,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_15,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_15,True,1,S_10,0.6,,,,soda,soda,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_16,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_16,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_17,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_17,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_18,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_18,True,S_10,14,1.0,,,,ade,ade,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_19,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_19,True,14,14,1.0,,,,ade,ade,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_20,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_20,True,14,14,1.0,,,,ade,ade,,1,sad,,13,serious,,15,worried,,,
event_goldencoinrush1_01_s_21,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_21,True,14,14,1.0,,,,cocoa,cocoa,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_22,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_22,True,14,14,1.0,,,,cocoa,cocoa,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_23,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_23,True,14,14,1.0,,,,cocoa,cocoa,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_24,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_24,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_25,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_25,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_26,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_26,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_27,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_27,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_28,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_28,True,150,150,1.0,,,,ade,ade,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_29,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_29,True,150,150,1.0,,,,ade,ade,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_30,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_30,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_31,40048,event_goldencoinrush1_01_s,Speech,Locale_MainScenario:event_goldencoinrush1_01_s_31,True,S_10,S_10,1.0,,,,soda,soda,,1,sad,,13,sad,,15,worried,,,
event_goldencoinrush1_01_s_32,40048,event_goldencoinrush1_01_s,Narration,Locale_MainScenario:event_goldencoinrush1_01_s_32,False,S_10,1,1.0,,,sfx_scn_phonevibration,soda,,,1,sad,,13,sad,,15,worried,,,
