id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,characters/1/hide_char_id,conversation_id,characters/0/hide_char_id
event_miraclesnow2_06_s_1,40004,event_miraclesnow2_06_s,Narration,Locale_SubScenario:event_miraclesnow2_06_s_1,False,rupee_w,1,idle_02,emma_c,5,idle,anne,7,idle,Cafe,black,black,1.0,none,,,,,,,
event_miraclesnow2_06_s_2,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_2,True,,1,idle_02,,5,idle,,7,idle,,75,75,1.0,event_bgm_2022winter,emma_c,emma,,,,,
event_miraclesnow2_06_s_3,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_3,True,,1,idle_02,,5,idle,,7,idle,,75,75,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_4,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_4,True,,1,idle_02,,5,idle,,7,idle,,75,75,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_5,40004,event_miraclesnow2_06_s,Narration,Locale_SubScenario:event_miraclesnow2_06_s_5,False,,1,idle_02,,5,idle,,7,idle,,75,75,1.0,,,,,,,,
event_miraclesnow2_06_s_6,40004,event_miraclesnow2_06_s,Monologue,Locale_SubScenario:event_miraclesnow2_06_s_6,False,,1,idle_02,,5,idle,,7,idle,,black,black,1.0,,,,,,,,
event_miraclesnow2_06_s_7,40004,event_miraclesnow2_06_s,Monologue,Locale_SubScenario:event_miraclesnow2_06_s_7,False,,1,idle_02,,5,idle,,7,idle,,black,black,1.0,,,,,,,,
event_miraclesnow2_06_s_8,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_8,True,,1,idle_02,,5,delight,,7,idle,,75,75,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_9,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_9,True,,1,idle_02,,5,delight,,7,delight,,75,75,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_10,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_10,True,,1,idle_02,,5,delight,,7,idle,,75,75,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_11,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_11,False,,1,idle_02,,5,surprise,,7,idle,,75,75,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_12,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_12,True,,1,idle_02,,5,surprise,,7,idle,,XS_70,XS_70,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_13,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_13,True,,1,idle_02,,5,delight,,7,idle,,50,50,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_14,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_14,True,,1,idle_02,,5,surprise,,7,idle,,50,50,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_15,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_15,True,,1,idle_02,,5,surprise,,7,delight,,XS_70,XS_70,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_16,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_16,True,,1,sad,,5,surprise,,7,delight,,XS_70,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_17,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_17,True,,1,sad,,5,idle,,7,delight,,L_10,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_18,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_18,True,,1,sad,,5,idle,,7,delight,,L_10,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_19,40004,event_miraclesnow2_06_s,Self,Locale_SubScenario:event_miraclesnow2_06_s_19,False,,1,sad,,5,idle,,7,delight,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_s_20,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_20,True,,1,sad,,5,idle,,3,delight,,L_10,31,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_21,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_21,True,,1,sad,,5,idle,,3,delight,,31,31,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_22,40004,event_miraclesnow2_06_s,Monologue,Locale_SubScenario:event_miraclesnow2_06_s_22,False,,1,sad,,5,idle,,3,delight,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_s_23,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_23,True,,1,sad,,5,idle,,3,delight,,31,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_24,40004,event_miraclesnow2_06_s,Choice,Locale_SubScenario:event_miraclesnow2_06_s_24,False,,1,sad,,5,idle,,3,delight,,XS_30,XS_30,1.0,,,,event_miraclesnow2_06_s_26,,,,
event_miraclesnow2_06_s_25,40004,event_miraclesnow2_06_s,Choice,Locale_SubScenario:event_miraclesnow2_06_s_25,False,,1,sad,,5,idle,,3,delight,,XS_30,XS_30,1.0,,,,event_miraclesnow2_06_s_26,,,,
event_miraclesnow2_06_s_26,40004,event_miraclesnow2_06_s,Narration,Locale_SubScenario:event_miraclesnow2_06_s_26,False,,1,sad,,5,idle,,3,delight,,XS_30,XS_30,1.0,,,,,sfx_scn_catyummy,,,
event_miraclesnow2_06_s_27,40004,event_miraclesnow2_06_s,Monologue,Locale_SubScenario:event_miraclesnow2_06_s_27,False,,1,sad,,5,idle,,3,delight,,XS_30,XS_30,1.0,,,,,,,,
event_miraclesnow2_06_s_28,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_28,True,,1,surprise,,5,idle,,3,delight,,XS_30,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_29,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_29,True,,1,idle_02,,5,idle,,3,delight,,31,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_30,40004,event_miraclesnow2_06_s,Monologue,Locale_SubScenario:event_miraclesnow2_06_s_30,False,,1,idle_02,,5,idle,,3,delight,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_s_31,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_31,True,,1,idle_02,,5,idle,,3,delight,,31,31,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_32,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_32,True,,1,idle_02,,5,delight,,3,delight,,50,50,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_33,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_33,True,,1,idle_02,,5,surprise,,3,delight,,50,50,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_34,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_34,True,,1,idle_02,,5,idle,,3,delight,,50,50,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_35,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_35,True,,1,idle_02,,5,idle,,3,delight,,50,5,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_36,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_36,True,,1,idle_02,,5,delight,,3,delight,,5,53,1.0,,emma_c,emma,,,,,
event_miraclesnow2_06_s_37,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_37,True,,1,idle_02,,5,delight,,3,idle,,53,53,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_38,40004,event_miraclesnow2_06_s,Narration,Locale_SubScenario:event_miraclesnow2_06_s_38,False,,1,idle_02,,5,delight,,3,idle,,53,53,1.0,,,,,,emma_c,,
event_miraclesnow2_06_s_39,40004,event_miraclesnow2_06_s,Narration,Locale_SubScenario:event_miraclesnow2_06_s_39,False,,1,idle_02,,,,,3,idle,,53,31,1.0,,,,,sfx_scn_phonevibration,,m_event_miraclesnow2_06_s,
event_miraclesnow2_06_s_40,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_40,True,,1,idle_02,,,,,3,idle,,31,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_41,40004,event_miraclesnow2_06_s,Self,Locale_SubScenario:event_miraclesnow2_06_s_41,False,,1,idle_02,,,,,3,idle,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_s_42,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_42,True,,1,sad,,,,,3,idle,,31,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_43,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_43,True,,1,idle_02,,,,,3,idle,,L_10,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_44,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_44,True,,1,idle_02,,,,,3,idle,,L_10,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_45,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_45,True,,1,idle_02,,,,,3,idle,,L_10,31,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_46,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_46,True,,1,shy,,,,,3,idle,,31,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_47,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_47,True,,1,shy,,,,,3,idle,,31,31,1.0,none,anne,anne,,,,,
event_miraclesnow2_06_s_48,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_48,True,,1,idle_02,,,,,3,idle,,31,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_49,40004,event_miraclesnow2_06_s,Self,Locale_SubScenario:event_miraclesnow2_06_s_49,False,,1,idle_02,,,,,3,idle,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_s_50,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_50,True,,1,idle_02,,,,,3,idle,,31,31,1.0,bgm_story_sunshinesorrow,anne,anne,,,,,
event_miraclesnow2_06_s_51,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_51,True,,1,idle_02,,,,,3,idle,,31,31,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_52,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_52,True,,1,sad,,,,,3,idle,,31,31,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_53,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_53,True,,1,sad,,,,,3,delight,,31,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_54,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_54,True,,1,sad,,,,,3,delight,,XS_30,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_55,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_55,True,,1,sad,,,,,3,delight,,XS_30,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_56,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_56,True,,1,etc,,,,,3,delight,,L_10,L_10,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_57,40004,event_miraclesnow2_06_s,Self,Locale_SubScenario:event_miraclesnow2_06_s_57,False,,1,etc,,,,,3,delight,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_s_58,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_58,True,,1,etc,,,,,3,idle,,XS_30,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_59,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_59,True,,1,etc,,,,,3,idle,,XS_30,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_60,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_60,True,,1,etc,,,,,3,idle,,XS_30,XS_30,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_61,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_61,True,,1,etc,,,,,3,think,,XS_30,XS_300,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_62,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_62,True,,1,etc,,,,,3,idle,,XS_300,XS_300,1.0,,anne,anne,,,,,
event_miraclesnow2_06_s_63,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_63,True,,1,etc,,,,,3,idle,,L_100,L_100,1.0,,rupee_w,rupee,,,,,
event_miraclesnow2_06_s_64,40004,event_miraclesnow2_06_s,Speech,Locale_SubScenario:event_miraclesnow2_06_s_64,False,,1,etc,,,,,3,think,,XS_300,XS_300,1.0,,anne,anne,,,,,
