id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_liarsend_05_1,130004,event_liarsend_05,Narration,Locale_SubScenario:event_liarsend_05_1,False,Police,black,black,1.0,sfx_scn_autodooropen,bgm_story_whosdumber,,,miranda,1,idle,quiry,13,delight
event_liarsend_05_2,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_2,True,,3,113,1.0,,,miranda,miranda,,1,idle,,13,delight
event_liarsend_05_3,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_3,True,,113,113,1.0,,,quiry,quiry,,1,idle,,13,delight
event_liarsend_05_4,130004,event_liarsend_05,Self,Locale_SubScenario:event_liarsend_05_4,False,,113,113,1.0,,,quiry,,,1,idle,,13,delight
event_liarsend_05_5,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_5,True,,113,113,1.0,,,miranda,miranda,,1,idle,,13,idle
event_liarsend_05_6,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_6,True,,113,113,1.0,,,miranda,miranda,,1,idle,,13,idle
event_liarsend_05_7,130004,event_liarsend_05,Self,Locale_SubScenario:event_liarsend_05_7,False,,113,113,1.0,,,miranda,,,1,idle,,13,idle
event_liarsend_05_8,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_8,True,,113,113,1.0,,,quiry,quiry,,1,idle,,13,idle
event_liarsend_05_9,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_9,True,,113,113,1.0,,,miranda,miranda,,1,idle,,13,idle
event_liarsend_05_10,130004,event_liarsend_05,Speech,Locale_SubScenario:event_liarsend_05_10,True,,113,113,1.0,,,miranda,miranda,,1,idle,,13,idle
