id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/0/hide_char_id
event_schooloflock_intermission_01_1,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_1,True,marciana,13,idle,Office,13,13,1.0,bgm_story_backtonormal,,,,,,,,,,,,
event_schooloflock_intermission_01_2,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_2,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_3,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_3,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_4,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_4,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_5,40028,event_schooloflock_intermission_01,Self,,,Locale_SubScenario:event_schooloflock_intermission_01_5,False,,13,idle,,13,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_6,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_6,True,,13,think,,13,130,1.0,none,,,,,,,,,,,,
event_schooloflock_intermission_01_7,40028,event_schooloflock_intermission_01,Self,,,Locale_SubScenario:event_schooloflock_intermission_01_7,False,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_8,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_8,True,,13,think,,130,130,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,
event_schooloflock_intermission_01_9,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_9,True,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_10,40028,event_schooloflock_intermission_01,Self,,,Locale_SubScenario:event_schooloflock_intermission_01_10,False,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_11,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_11,True,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_12,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_12,True,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_13,40028,event_schooloflock_intermission_01,Self,,,Locale_SubScenario:event_schooloflock_intermission_01_13,False,,13,think,,130,130,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_14,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_14,True,,13,idle,,130,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_15,40028,event_schooloflock_intermission_01,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_intermission_01_15,True,,13,idle,,13,13,1.0,,,,,,,,,,,,,
event_schooloflock_intermission_01_16,40028,event_schooloflock_intermission_01,Self,,,Locale_SubScenario:event_schooloflock_intermission_01_16,False,,13,idle,,13,13,1.0,,,,,,,,,,,,,
