id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
event_trueflavor_02_e_1,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_1,True,crust,12,idle,Kitchen,XS_1200,XS_1200,1.0,bgm_story_luckybreak,,,,,,,
event_trueflavor_02_e_2,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_2,True,,12,idle,,XS_1200,XS_1200,1.0,,,,,,,,
event_trueflavor_02_e_3,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_3,True,,12,idle,,XS_1200,XS_1200,1.0,,,,,,,,
event_trueflavor_02_e_4,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_4,True,,12,idle,,XS_1200,XS_1200,1.0,,,,,,,,
event_trueflavor_02_e_5,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_5,True,,12,delight,,XS_1200,XS_120,1.3,,,,,,,,
event_trueflavor_02_e_6,40074,event_trueflavor_02_e,Self,crust,,Locale_SubScenario:event_trueflavor_02_e_6,False,,12,delight,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_7,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_7,True,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_8,40074,event_trueflavor_02_e,Self,crust,,Locale_SubScenario:event_trueflavor_02_e_8,False,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_9,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_9,True,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_10,40074,event_trueflavor_02_e,Self,crust,,Locale_SubScenario:event_trueflavor_02_e_10,False,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_11,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_11,True,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_12,40074,event_trueflavor_02_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_02_e_12,True,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_13,40074,event_trueflavor_02_e,Monologue,crust,,Locale_SubScenario:event_trueflavor_02_e_13,False,,12,idle,,XS_120,XS_120,1.0,,,,,,,,
event_trueflavor_02_e_14,40074,event_trueflavor_02_e,Self,crust,,Locale_SubScenario:event_trueflavor_02_e_14,False,,12,idle,,XS_120,XS_120,1.3,,,,,,,,
event_trueflavor_02_e_15,40074,event_trueflavor_02_e,Monologue,crust,,Locale_SubScenario:event_trueflavor_02_e_15,False,,12,idle,,black,black,1.0,,,,,,,,
event_trueflavor_02_e_16,40074,event_trueflavor_02_e,Monologue,crust,,Locale_SubScenario:event_trueflavor_02_e_16,False,,12,idle,,black,black,1.0,,,,,,,,
