id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ltk_04_s_1,40012,event_ltk_04_s,Narration,Narration,Locale_SubScenario:event_ltk_04_s_1,False,Storage,2,2,2.0,bgm_distress,,,,,d,2,idle
event_ltk_04_s_2,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_2,True,,2,1,1.0,,youngstaff,youngstaff,12,idle,,2,idle
event_ltk_04_s_3,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_3,True,,1,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_4,40012,event_ltk_04_s,Self,Self,Locale_SubScenario:event_ltk_04_s_4,False,,1,1,1.0,,,,12,idle,,2,idle
event_ltk_04_s_5,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_5,True,,1,L_120,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_6,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_6,True,,L_120,L_120,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_7,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_7,True,,L_120,L_120,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_8,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_8,True,,L_120,L_120,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_9,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_9,True,,L_120,20,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_10,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_10,True,,20,20,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_11,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_11,True,,20,20,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_12,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_12,True,,20,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_13,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_13,True,,1,1,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_14,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_14,True,,1,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_15,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_15,True,,1,1,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_16,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_16,True,,1,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_17,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_17,True,,1,1,1.0,,d,,12,idle,,2,angry
event_ltk_04_s_18,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_18,True,,1,1,1.0,,youngstaff,,12,idle,,2,angry
event_ltk_04_s_19,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_19,True,,1,1,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_20,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_20,True,,1,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_21,40012,event_ltk_04_s,Speech,youngstaff,Locale_SubScenario:event_ltk_04_s_21,True,,1,1,1.0,,youngstaff,,12,idle,,2,idle
event_ltk_04_s_22,40012,event_ltk_04_s,Monologue,Monologue,Locale_SubScenario:event_ltk_04_s_22,False,,black,black,1.0,,,,12,idle,,2,idle
event_ltk_04_s_23,40012,event_ltk_04_s,Monologue,Monologue,Locale_SubScenario:event_ltk_04_s_23,False,,black,black,1.0,,,,12,idle,,2,idle
event_ltk_04_s_24,40012,event_ltk_04_s,Monologue,Monologue,Locale_SubScenario:event_ltk_04_s_24,False,,black,black,1.0,,,,12,idle,,2,idle
event_ltk_04_s_25,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_25,True,,20,20,1.0,,d,,12,idle,,2,idle
event_ltk_04_s_26,40012,event_ltk_04_s,Speech,d,Locale_SubScenario:event_ltk_04_s_26,True,,20,1,1.0,,d,,12,idle,,2,idle
