id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_unbreakablesphere2_01_s_1,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_1,True,DeepWater_02,black,black,1.0,event_bgm_ubsphere_blackspace,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_2,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_2,True,,100,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_3,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_3,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_4,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_4,True,,1,1,1.0,,Red,Vignetting,Low_2,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_5,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_5,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_6,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_6,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_7,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_7,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_8,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_8,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_9,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_9,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_10,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_10,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_11,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_11,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_12,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_12,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_13,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_13,True,,1,1,1.0,,Red,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_14,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_14,True,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_15,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_15,True,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_16,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_16,True,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_17,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_17,True,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_18,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_18,True,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_19,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_19,True,SpaceElevator,black,black,1.0,,Grey,Vignetting,,cinderella,1,idle,,,,,,,,,,,,,,
event_unbreakablesphere2_01_s_20,40076,event_unbreakablesphere2_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_01_s_20,True,,S_100,S_10,1.0,,Grey,Vignetting,,,1,idle,,,,,,,,,,,,,,
