id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_exnii2_07_e_1,40071,event_exnii2_07_e,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_e_1,True,shifty,OP_leftup,angry,RedOcean_s_2,1,1,1.0,event_bgm_ce005_field_2,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_e_2,40071,event_exnii2_07_e,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_e_2,True,,OP_leftup,angry,EventScene_ce005_06_3,event_exnii2_09,event_exnii2_09,1.0,,black,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_e_3,40071,event_exnii2_07_e,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_e_3,True,,OP_leftup,angry,,event_exnii2_09,event_exnii2_09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_e_4,40071,event_exnii2_07_e,Narration,,,Locale_SubScenario:event_exnii2_07_e_4,False,,OP_leftup,angry,,event_exnii2_09,event_exnii2_07,1.0,,,shifty,sfx_scn_explosions,Low_2,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_e_5,40071,event_exnii2_07_e,Narration,,,Locale_SubScenario:event_exnii2_07_e_5,False,,,,,event_exnii2_07,event_exnii2_08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_e_6,40071,event_exnii2_07_e,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_e_6,True,,,,EzsUp_r,event_exnii_talk_05,event_exnii_talk_05,1.0,,black,,,,helm,1,angry,liter,13,idle,,,,,,,,,,,,,,
event_exnii2_07_e_7,40071,event_exnii2_07_e,Speech,liter,liter,Locale_SubScenario:event_exnii2_07_e_7,True,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,1,angry,,13,sorrow,,,,,,,,,,,,,,
event_exnii2_07_e_8,40071,event_exnii2_07_e,Speech,liter,liter,Locale_SubScenario:event_exnii2_07_e_8,True,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,1,angry,,13,sorrow,,,,,,,,,,,,,,
event_exnii2_07_e_9,40071,event_exnii2_07_e,Speech,liter,liter,Locale_SubScenario:event_exnii2_07_e_9,True,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,1,angry,,13,sorrow,,,,,,,,,,,,,,
event_exnii2_07_e_10,40071,event_exnii2_07_e,Speech,ce005_01_op_c,ce005_01_op_c,Locale_SubScenario:event_exnii2_07_e_10,True,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,1,angry,,13,sorrow,ce005_01_op_c,OP_centerup,idle,,,,,,,,,,,
