id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_secretgarden_03_s_1,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_1,True,Desert_04,XS_1300,XS_1300,1.0,bgm_inark,,,,flora,1,surprise,biscuit,13,idle
event_secretgarden_03_s_2,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_2,True,,XS_1300,XS_130,1.0,,,,,,1,surprise,,13,idle
event_secretgarden_03_s_3,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_3,True,,XS_130,XS_130,1.0,,,,,,1,surprise,,13,idle
event_secretgarden_03_s_4,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_4,True,,XS_130,113,1.0,,,,,,1,surprise,,13,idle
event_secretgarden_03_s_5,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_5,True,,113,113,1.0,,,,,,1,surprise,,13,delight
event_secretgarden_03_s_6,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_6,True,,113,113,1.0,,,,,,1,surprise,,13,delight
event_secretgarden_03_s_7,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_7,True,FlowerGarden,XS_1300,XS_1300,1.0,,black,,,,1,surprise,,13,delight
event_secretgarden_03_s_8,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_8,True,,XS_1300,XS_130,1.0,none,,,,,1,surprise,,13,sad
event_secretgarden_03_s_9,40063,event_secretgarden_03_s,Self,biscuit,,Locale_SubScenario:event_secretgarden_03_s_9,False,,XS_130,XS_130,1.0,,,,,,1,surprise,,13,sad
event_secretgarden_03_s_10,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_10,True,,XS_130,113,1.0,bgm_story_tepidappleade,,,,,1,surprise,,13,sad
event_secretgarden_03_s_11,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_11,True,,113,113,1.0,,,,,,1,surprise,,13,sad
event_secretgarden_03_s_12,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_12,True,,113,113,1.0,,,,,,1,sad,,13,sad
event_secretgarden_03_s_13,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_13,True,,113,113,1.0,,,,,,1,sad,,13,sad
event_secretgarden_03_s_14,40063,event_secretgarden_03_s,Self,flora,,Locale_SubScenario:event_secretgarden_03_s_14,False,,113,113,1.0,,,,,,1,sad,,13,sad
event_secretgarden_03_s_15,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_15,True,,113,113,1.0,,,,,,1,sad,,13,sad
event_secretgarden_03_s_16,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_16,True,,113,113,1.0,,,,,,1,angry,,13,sad
event_secretgarden_03_s_17,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_17,True,,113,113,1.0,,,,,,1,angry,,13,angry
event_secretgarden_03_s_18,40063,event_secretgarden_03_s,Self,biscuit,,Locale_SubScenario:event_secretgarden_03_s_18,False,,113,113,1.0,,,Low_2,,,1,angry,,13,angry
event_secretgarden_03_s_19,40063,event_secretgarden_03_s,Self,biscuit,,Locale_SubScenario:event_secretgarden_03_s_19,False,,113,113,1.0,,,,,,1,angry,,13,angry
event_secretgarden_03_s_20,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_20,True,,113,113,1.0,,,,,,1,angry,,13,angry
event_secretgarden_03_s_21,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_21,True,,113,113,1.0,,,,,,1,angry,,13,angry
event_secretgarden_03_s_22,40063,event_secretgarden_03_s,Choice,biscuit,,Locale_SubScenario:event_secretgarden_03_s_22,False,,113,113,1.0,,,,event_secretgarden_03_s_25,,1,angry,,13,angry
event_secretgarden_03_s_23,40063,event_secretgarden_03_s,Choice,biscuit,,Locale_SubScenario:event_secretgarden_03_s_23,False,,113,113,1.0,,,,event_secretgarden_03_s_27,,1,angry,,13,angry
event_secretgarden_03_s_24,40063,event_secretgarden_03_s,Choice,biscuit,,Locale_SubScenario:event_secretgarden_03_s_24,False,,113,113,1.0,,,,event_secretgarden_03_s_29,,1,delight,,13,angry
event_secretgarden_03_s_25,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_25,True,,113,113,1.0,,,,,,1,delight,,13,angry
event_secretgarden_03_s_26,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_26,True,,113,113,1.0,,,,event_secretgarden_03_s_34,,1,delight,,13,angry
event_secretgarden_03_s_27,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_27,True,,113,113,1.0,,,,,,1,delight,,13,angry
event_secretgarden_03_s_28,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_28,True,,113,113,1.0,,,,event_secretgarden_03_s_34,,1,delight,,13,angry
event_secretgarden_03_s_29,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_29,True,,113,113,1.0,,,,,,1,delight,,13,angry
event_secretgarden_03_s_30,40063,event_secretgarden_03_s,Self,biscuit,,Locale_SubScenario:event_secretgarden_03_s_30,False,,113,113,1.0,,,,,,1,delight,,13,angry
event_secretgarden_03_s_31,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_31,True,,113,113,1.0,,,,,,1,surprise,,13,angry
event_secretgarden_03_s_32,40063,event_secretgarden_03_s,Self,flora,,Locale_SubScenario:event_secretgarden_03_s_32,False,,113,113,1.0,,,,,,1,surprise,,13,angry
event_secretgarden_03_s_33,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_33,True,,113,113,1.0,,,,event_secretgarden_03_s_34,,1,surprise,,13,delight
event_secretgarden_03_s_34,40063,event_secretgarden_03_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_03_s_34,True,,113,113,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_35,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_35,True,,113,10,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_36,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_36,True,,10,10,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_37,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_37,True,,10,10,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_38,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_38,True,,10,10,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_39,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_39,True,,10,10,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_40,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_40,True,,10,100,1.0,,,,,,1,delight,,13,delight
event_secretgarden_03_s_41,40063,event_secretgarden_03_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_03_s_41,True,,100,100,1.0,,,,,,1,delight,,13,delight
