id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker
d_contents_dungeon_run_07_1,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_1,False,DragonCastleIn,black,black,1.0,none,,,,,,,,
d_contents_dungeon_run_07_2,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_2,False,,black,black,1.0,,,,,,,,,
d_contents_dungeon_run_07_3,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_3,False,,black,black,1.0,,maiden_w,2,worry,vesti_c,12,idle,,
d_contents_dungeon_run_07_4,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_4,True,,1,1,1.0,event_bgm_neverland_snowflakes_sunset,,2,worry,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_5,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_5,True,,1,1,1.0,,,2,worry,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_6,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_6,True,,1,1,1.0,,,2,worry,,12,angry,vesti_c,vesti_c
d_contents_dungeon_run_07_7,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_7,True,,1,1,1.0,,,2,worry,,12,angry,vesti_c,vesti_c
d_contents_dungeon_run_07_8,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_8,True,,1,1,1.0,,,2,worry,,12,angry,vesti_c,vesti_c
d_contents_dungeon_run_07_9,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_9,True,,1,L_20,0.5,,,2,no,,12,angry,maiden_w,maiden_w
d_contents_dungeon_run_07_10,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_10,True,,L_20,L_20,1.0,,,2,no,,12,angry,maiden_w,maiden_w
d_contents_dungeon_run_07_11,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_11,True,,L_20,L_20,1.0,,,2,no,,12,angry,maiden_w,maiden_w
d_contents_dungeon_run_07_12,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_12,True,,L_20,L_20,1.0,,,2,no,,12,angry,maiden_w,maiden_w
d_contents_dungeon_run_07_13,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_13,True,,L_20,L_20,1.0,,,2,no,,12,angry,maiden_w,maiden_w
d_contents_dungeon_run_07_14,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_14,True,,L_20,1,1.0,,,2,no,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_15,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_15,True,,1,1,1.0,,,2,no,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_16,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_16,True,,1,1,1.0,,,2,shy,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_17,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_17,True,,1,1,1.0,,,2,shy,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_18,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_18,True,,1,1,1.0,,,2,shy,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_19,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_19,True,,1,1,1.0,,,2,shy,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_20,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_20,True,,1,1,1.0,,,2,shy,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_21,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_21,True,,1,1,1.0,,,2,shy,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_22,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_22,True,,1,1,1.0,,,2,shy,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_23,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_23,True,,1,1,1.0,,,2,shy,,12,idle,vesti_c,vesti_c
d_contents_dungeon_run_07_24,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_24,True,,1,1,1.0,,,2,worry,,12,idle,maiden_w,maiden_w
d_contents_dungeon_run_07_25,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_25,True,,1,1,1.0,,,2,worry,,12,delight,vesti_c,vesti_c
d_contents_dungeon_run_07_26,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_26,False,,1,L_20,1.0,,,2,worry,,12,delight,maiden_w,maiden_w
d_contents_dungeon_run_07_27,81701,d_contents_dungeon_run_07,Speech,Locale_SubScenario:d_contents_dungeon_run_07_27,True,,L_20,L_20,1.0,,,2,no,,12,delight,maiden_w,maiden_w
d_contents_dungeon_run_07_28,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_28,False,,black,black,1.0,,,2,no,,12,delight,,
d_contents_dungeon_run_07_29,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_29,False,,black,black,1.0,,,2,no,,12,delight,,
d_contents_dungeon_run_07_30,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_30,False,,black,black,1.0,,,2,no,,12,delight,,
d_contents_dungeon_run_07_31,81701,d_contents_dungeon_run_07,Narration,Locale_SubScenario:d_contents_dungeon_run_07_31,False,,black,black,1.0,,,2,no,,12,delight,,
