id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,jump_target
event_phantomthiefvsdetective_04_s_1,40059,event_phantomthiefvsdetective_04_s,Narration,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_1,False,phantom,2,no,miranda_c,12,idle,City,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,
event_phantomthiefvsdetective_04_s_2,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_2,True,,2,no,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_3,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_3,True,,2,no,,12,idle,,1,1,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_4,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_4,True,,2,no,,12,idle,,1,1,1.0,,miranda_c,,,,,,,,,,
event_phantomthiefvsdetective_04_s_5,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_5,False,,2,no,,12,idle,,1,L_20,1.0,,,sfx_scn_carabiner,,,,,,,,,
event_phantomthiefvsdetective_04_s_6,40059,event_phantomthiefvsdetective_04_s,Speech,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_6,True,,2,no,,12,idle,,L_20,L_20,1.0,,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_7,40059,event_phantomthiefvsdetective_04_s,Narration,phantom,Locale_SubScenario:event_phantomthiefvsdetective_04_s_7,False,,2,no,,12,idle,,L_20,L_20,1.0,,,sfx_scn_zipline,phantom,,,,,,,,
event_phantomthiefvsdetective_04_s_8,40059,event_phantomthiefvsdetective_04_s,Narration,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_8,False,,,,,12,idle,,L_20,L_20,1.0,,,,,,,,,,,,
event_phantomthiefvsdetective_04_s_9,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_9,False,phantom,9,no,,12,idle,,black,black,1.0,none,phantom,,,,,,,,,,
event_phantomthiefvsdetective_04_s_10,40059,event_phantomthiefvsdetective_04_s,Speech,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_04_s_10,False,,9,surprise,,12,idle,,9,L_90,1.0,,phantom,,,,,,,,,,
