id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_miraclesnow1_01_e_1,40003,event_miraclesnow1_01_e,Narration,Locale_SubScenario:event_miraclesnow1_01_e_1,False,rupee,1,idle,belorta,7,delight,mica,9,sad,Winter_AmusementPark,black,black,1.0,event_bgm_2022winter,,,,,,,,,,,,,
event_miraclesnow1_01_e_2,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_2,True,,1,idle,,7,delight,,9,sad,,97,97,1.0,,belorta,belorta,,,,,,,,,,,
event_miraclesnow1_01_e_3,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_3,True,,1,idle,,7,delight,,9,sad,,97,97,1.0,,mica,mica,,,,,,,,,,,
event_miraclesnow1_01_e_4,40003,event_miraclesnow1_01_e,Monologue,Locale_SubScenario:event_miraclesnow1_01_e_4,False,,1,idle,,7,delight,,9,sad,,97,97,1.0,,,,,,,,,,,,,,
event_miraclesnow1_01_e_5,40003,event_miraclesnow1_01_e,Monologue,Locale_SubScenario:event_miraclesnow1_01_e_5,False,,1,idle,,7,delight,,9,sad,,97,1,1.0,,,,belorta,mica,,,,,,,,,
event_miraclesnow1_01_e_6,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_6,True,,1,idle,,,,,,,,1,L_10,1.0,,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_7,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_7,True,,1,shy,,,,,,,,L_10,L_10,1.0,,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_8,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_8,True,,1,idle,,,,,,,,L_10,1,1.0,,rupee,rupee,,,sfx_scn_remotesignal,fx_Eventscene_camera_recording,rec,True,,,,,
event_miraclesnow1_01_e_9,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_9,True,,1,idle,,,,,,,,1,1,1.0,none,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_10,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_10,True,,1,idle,sugar,13,idle,,,,,S_130,S_130,1.0,,sugar,sugar,,,sfx_scn_bikeengine,,,,fx_Eventscene_camera_recording,,,,
event_miraclesnow1_01_e_11,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_11,False,,1,surprise,,13,idle,,,,,L_10,L_10,1.0,,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_12,40003,event_miraclesnow1_01_e,Self,Locale_SubScenario:event_miraclesnow1_01_e_12,False,,1,surprise,,13,idle,,,,,L_10,L_10,1.0,,rupee,,,,,,,,,,,,
event_miraclesnow1_01_e_13,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_13,True,,1,sad,,13,idle,,,,,L_10,1,1.0,bgm_story_herecomestrouble,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_14,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_14,True,,1,sad,,13,delight,,,,,1,113,1.0,,sugar,sugar,,,,,,,,,,,
event_miraclesnow1_01_e_15,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_15,False,,1,sad,,13,delight,,,,,113,113,1.0,,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_16,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_16,True,,1,sad,,13,delight,,,,,113,113,1.0,,rupee,rupee,,,,,,,,,,,
event_miraclesnow1_01_e_17,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_17,True,,1,sad,,13,idle,,,,,113,113,1.0,,sugar,sugar,,,,,,,,,,,
event_miraclesnow1_01_e_18,40003,event_miraclesnow1_01_e,Speech,Locale_SubScenario:event_miraclesnow1_01_e_18,True,,1,sad,,13,idle,,,,,113,113,1.0,,rupee,rupee,,,,,,,,,,,
