id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_filter_01,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_perfectmaid_01_s_1,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_1,True,CommanderRoom,12,12,1.0,sfx_scn_autodooropen,bgm_story_breakaway,,,,,cocoa,1,idle,,soda,13,sad,,,,,,,,,
event_perfectmaid_01_s_2,40039,event_perfectmaid_01_s,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_01_s_2,True,,12,12,1.0,,,,,,,,1,idle,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_3,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_3,False,,12,12,1.0,,,,,,,,1,idle,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_4,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_4,True,,12,XS_10,1.0,,,,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_5,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_5,True,,XS_10,XS_10,1.0,,,,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_6,40039,event_perfectmaid_01_s,Choice,,,Locale_SubScenario:event_perfectmaid_01_s_6,False,,XS_10,XS_10,1.0,,,event_perfectmaid_01_s_8,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_7,40039,event_perfectmaid_01_s,Choice,,,Locale_SubScenario:event_perfectmaid_01_s_7,False,,XS_10,XS_10,1.0,,,event_perfectmaid_01_s_16,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_8,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_8,True,,XS_10,XS_10,1.0,,,,,,,,1,idle,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_9,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_9,True,,XS_10,XS_10,1.0,,,,,,,,1,surprised,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_10,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_10,True,,XS_10,XS_10,1.0,,,,,,,,1,surprised,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_11,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_11,True,Office,XS_10,1,1.0,,,,Grey,,,,1,idle,cocoa,,13,sad,soda,mustang,1,idle,,,,,
event_perfectmaid_01_s_12,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_12,True,Storage,1,1,1.0,,,,Grey,,,,1,idle,,,13,sad,,,1,idle,mustang,hologram,1,idle,
event_perfectmaid_01_s_13,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_13,True,,1,1,1.0,,,,Grey,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_14,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_14,False,,1,1,1.0,,,,Grey,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_15,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_15,True,,1,1,1.0,,,event_perfectmaid_01_s_19,Grey,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_16,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_16,True,,XS_10,XS_10,1.0,,,,,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_17,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_17,True,,XS_10,XS_10,1.0,,,,,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_18,40039,event_perfectmaid_01_s,Monologue,,,Locale_SubScenario:event_perfectmaid_01_s_18,False,,XS_10,1,1.0,,,event_perfectmaid_01_s_19,,,,,1,delight,,,13,sad,,,,,,,1,idle,
event_perfectmaid_01_s_19,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_19,True,CommanderRoom,1,1,1.0,,,,,,,cocoa,1,serious,,soda,13,sad,,,,,,,1,idle,hologram
event_perfectmaid_01_s_20,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_20,False,,1,1,1.0,,,,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_21,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_21,True,,1,1,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_22,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_22,True,,1,XS_100,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_23,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_23,False,,XS_100,XS_100,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_24,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_24,True,,XS_100,XS_100,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_25,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_25,False,,XS_100,XS_100,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_26,40039,event_perfectmaid_01_s,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_01_s_26,True,,S_130,S_130,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_27,40039,event_perfectmaid_01_s,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_01_s_27,True,,S_130,S_130,1.0,,,,,,,,1,sad,,,13,think,,,,,,,,,
event_perfectmaid_01_s_28,40039,event_perfectmaid_01_s,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_01_s_28,True,,S_130,S_130,1.0,,,,,,,,1,sad,,,13,think,,,,,,,,,
event_perfectmaid_01_s_29,40039,event_perfectmaid_01_s,Speech,soda,soda,Locale_SubScenario:event_perfectmaid_01_s_29,True,,S_130,S_130,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_30,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_30,True,,S_130,12,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_31,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_31,True,,12,12,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_32,40039,event_perfectmaid_01_s,Self,,,Locale_SubScenario:event_perfectmaid_01_s_32,False,,12,12,1.0,,,,,,,,1,sad,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_33,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_33,True,,12,XS_10,1.0,,,,,,,,1,serious,,,13,sad,,,,,,,,,
event_perfectmaid_01_s_34,40039,event_perfectmaid_01_s,Speech,cocoa,cocoa,Locale_SubScenario:event_perfectmaid_01_s_34,True,,XS_10,XS_10,1.0,,,,,,,,1,serious,,,13,sad,,,,,,,,,
