id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_ex_redash_07_2_1,80800,d_ex_redash_07_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_2_1,False,Office,black,black,1.0,none,,,,,liliweiss,9,no,,,,,,,
d_ex_redash_07_2_2,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_2,False,,9,9,1.0,event_bgm_redash_freesia,liliweiss,,,,,9,no,,,,,,,
d_ex_redash_07_2_3,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_3,True,,9,9,1.0,,liliweiss,,,,,9,no,,,,,,,
d_ex_redash_07_2_4,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_4,True,,90,90,1.0,,liliweiss,Vignetting,white,,,9,idle,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_redash_07_2_5,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_5,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_6,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_6,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
d_ex_redash_07_2_7,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_7,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
d_ex_redash_07_2_8,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_8,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_9,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_9,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_10,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_10,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_11,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_11,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_12,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_12,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_13,80800,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_13,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
