id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_goldencoinrush2_02_s_1,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_1,True,CoinRushMainHall,XS_10,XS_10,1.0,event_bgm_goldcoinrush_inst,,,soda_b,3,sad,,alice_b,1,worry,,,,,,,,,,,,,
event_goldencoinrush2_02_s_2,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_2,True,,XS_10,XS_10,1.0,,,,,3,sad,,,1,worry,,,,,,,,,,,,,
event_goldencoinrush2_02_s_3,40049,event_goldencoinrush2_02_s,Self,alice_b,,Locale_MainScenario:event_goldencoinrush2_02_s_3,False,,XS_10,XS_10,1.0,,,,,3,sad,,,1,worry,,,,,,,,,,,,,
event_goldencoinrush2_02_s_4,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_4,True,,XS_10,XS_10,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_5,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_5,True,,XS_10,XS_10,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_6,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_6,True,,XS_10,XS_10,1.0,,,,,3,sad,,,1,delight,,,,,,,,,,,,,
event_goldencoinrush2_02_s_7,40049,event_goldencoinrush2_02_s,Self,alice_b,,Locale_MainScenario:event_goldencoinrush2_02_s_7,False,,XS_10,XS_10,1.0,,,,,3,sad,,,1,delight,,,,,,,,,,,,,
event_goldencoinrush2_02_s_8,40049,event_goldencoinrush2_02_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_02_s_8,False,,XS_10,2,1.0,,,,,3,sad,,,1,delight,,,,,,,,,,,,,
event_goldencoinrush2_02_s_9,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_9,True,,2,2,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_10,40049,event_goldencoinrush2_02_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_02_s_10,True,,2,2,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_11,40049,event_goldencoinrush2_02_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_02_s_11,True,,2,2,1.0,none,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_12,40049,event_goldencoinrush2_02_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_02_s_12,True,,2,2,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
event_goldencoinrush2_02_s_13,40049,event_goldencoinrush2_02_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_02_s_13,True,,2,2,1.0,,,,,3,sad,,,1,idle,,,,,,,,,,,,,
