id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_01,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_redash2_02_e_1,40032,event_redash2_02_e,Narration,Locale_MainScenario:event_redash2_02_e_1,False,WasteLand_03,black,black,1.0,sfx_scn_slowcar,event_bgm_redash_thewilds,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_2,40032,event_redash2_02_e,Narration,Locale_MainScenario:event_redash2_02_e_2,False,EventScene_redash_03_1,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_3,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_3,True,,1,redhoodoswald_01,1.0,,,redhood,redhood,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_4,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_4,True,,redhoodoswald_01,redhoodoswald_01,1.0,,,oswald_o,oswald_o,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_5,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_5,True,,redhoodoswald_01,redhoodoswald_01,1.0,,,redhood,redhood,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_6,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_6,True,,redhoodoswald_01,redhoodoswald_02,1.0,,,redhood,redhood,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_7,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_7,True,,redhoodoswald_02,redhoodoswald_03,1.0,,,oswald_o,oswald_o,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_8,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_8,True,,redhoodoswald_03,redhoodoswald_01,1.0,,,redhood,redhood,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_9,40032,event_redash2_02_e,Narration,Locale_MainScenario:event_redash2_02_e_9,False,EventScene_redash_03_2,redhoodoswald_01,redhoodoswald_01,1.0,sfx_scn_aim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash2_02_e_10,40032,event_redash2_02_e,Speech,Locale_MainScenario:event_redash2_02_e_10,True,,redhoodoswald_01,redhoodoswald_01,1.0,,,oswald_o,oswald_o,,,,,,,,,,,,,,,,,,,,,,,,,
