id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id
event_lastkingdom2_intermission_1,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_1,True,kilo,1,idle,crown,13,idle,Crowncastlebedroom_d,113,113,1.0,event_bgm_lastkingdom_ownplace,,,,,,,
event_lastkingdom2_intermission_2,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_2,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_3,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_3,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_4,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_4,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_5,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_5,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_6,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_6,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_7,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_7,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_8,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_8,False,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_9,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_9,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_10,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_10,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_11,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_11,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_12,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_12,True,,1,idle,,13,idle,,113,113,1.0,,,,,,,,
event_lastkingdom2_intermission_13,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_13,True,,1,idle,,13,idle,,113,S_10,1.0,,,,,,,,
event_lastkingdom2_intermission_14,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_14,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
event_lastkingdom2_intermission_15,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_15,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
event_lastkingdom2_intermission_16,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_16,True,,1,idle,,13,idle,,S_10,S_100,1.0,,,,,,,,
event_lastkingdom2_intermission_17,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_17,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
event_lastkingdom2_intermission_18,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_18,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
event_lastkingdom2_intermission_19,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_19,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
event_lastkingdom2_intermission_20,40046,event_lastkingdom2_intermission,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_intermission_20,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
event_lastkingdom2_intermission_21,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_21,True,,1,idle,,13,idle,,S_100,S_10,1.0,,,,,,,,
event_lastkingdom2_intermission_22,40046,event_lastkingdom2_intermission,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_intermission_22,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
