id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_contents_return_01_1,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_1,True,anis,1,sad,neon,3,idle,CommanderRoom,31,31,1.0,bgm_menu_commandersroom,,,,,
d_contents_return_01_2,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_2,True,,1,sad,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_3,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_3,True,,1,sad,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_4,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_4,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_5,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_5,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_6,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_6,True,,1,angry,,3,idle,,10,10,1.0,,,,,,
d_contents_return_01_7,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_7,True,,1,angry,,3,angry,,S_30,S_30,1.0,,,,,,
d_contents_return_01_8,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_8,True,,1,angry,,3,angry,,10,100,2.0,,,,,,
d_contents_return_01_9,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_9,True,,1,angry,,3,no,,S_30,S_300,2.0,,,,,,
d_contents_return_01_10,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_10,True,,1,angry,,3,no,,100,100,1.0,,,,,,
d_contents_return_01_11,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_11,False,,1,angry,,3,no,,S_300,S_300,1.0,,,,,,
d_contents_return_01_12,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_12,False,,1,angry,,3,no,,100,100,1.0,,,,,,
d_contents_return_01_13,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_13,True,,1,angry,,3,worry,,100,31,1.0,,,,,,
d_contents_return_01_14,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_14,True,,1,sad,,3,worry,,31,31,1.0,,,,,,
d_contents_return_01_15,90001,d_contents_return_01,Self,anis,,Locale_SubScenario:d_contents_return_01_15,False,,1,sad,,3,worry,,31,31,1.0,,,,,,
d_contents_return_01_16,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_16,False,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_17,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_17,False,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_18,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_18,True,,1,angry,,3,idle,,31,100,0.5,,,,,,
d_contents_return_01_19,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_19,True,,1,angry,,3,no,,S_300,S_300,1.0,,,,,,
d_contents_return_01_20,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_20,True,,1,angry,,3,no,,10,10,1.0,,,,,,
d_contents_return_01_21,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_21,True,,1,angry,,3,no,,10,100,0.5,,,,,,
d_contents_return_01_22,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_22,True,,1,angry,,3,surprise,,31,31,1.0,,,,,,
d_contents_return_01_23,90001,d_contents_return_01,Self,neon,,Locale_SubScenario:d_contents_return_01_23,True,,1,angry,,3,surprise,,31,31,1.0,,,,,,
d_contents_return_01_24,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_24,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_25,90001,d_contents_return_01,Choice,anis,,Locale_SubScenario:d_contents_return_01_25,False,,1,void,,3,idle,,31,31,1.0,,d_contents_return_01_27,,,,
d_contents_return_01_26,90001,d_contents_return_01,Choice,anis,,Locale_SubScenario:d_contents_return_01_26,False,,1,void,,3,idle,,31,31,1.0,,d_contents_return_01_29,,,,
d_contents_return_01_27,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_27,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_28,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_28,True,,1,void,,3,no,,31,31,1.0,,d_contents_return_01_29,,,,
d_contents_return_01_29,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_29,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_30,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_30,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_31,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_31,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_32,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_32,True,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_33,90001,d_contents_return_01,Self,anis,,Locale_SubScenario:d_contents_return_01_33,False,,1,void,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_34,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_34,True,,1,idle,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_35,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_35,True,,1,idle,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_36,90001,d_contents_return_01,Self,anis,,Locale_SubScenario:d_contents_return_01_36,False,,1,idle,,3,idle,,31,15,1.0,,,rapi,15,no,
d_contents_return_01_37,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_37,True,,1,idle,,3,idle,,15,15,1.0,,,,15,no,
d_contents_return_01_38,90001,d_contents_return_01,Self,rapi,,Locale_SubScenario:d_contents_return_01_38,True,,1,idle,,3,idle,,15,15,1.0,,,,15,no,
d_contents_return_01_39,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_39,True,,1,idle,,3,idle,,15,1500,2.0,,,,15,angry,
d_contents_return_01_40,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_40,False,,1,idle,,3,idle,,1500,150,1.0,,,,15,angry,
d_contents_return_01_41,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_41,True,,1,idle,,3,idle,,150,15,1.0,,,,15,idle,
d_contents_return_01_42,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_42,True,,1,idle,,3,idle,,15,15,1.0,,,,15,idle,
d_contents_return_01_43,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_43,True,,1,idle,,3,idle,,15,15,1.0,,,,15,idle,
d_contents_return_01_44,90001,d_contents_return_01,Speech,rapi,rapi,Locale_SubScenario:d_contents_return_01_44,True,,1,idle,,3,idle,,15,15,1.0,,,,15,idle,
d_contents_return_01_45,90001,d_contents_return_01,Monologue,rapi,,Locale_SubScenario:d_contents_return_01_45,False,,1,idle,,3,idle,,15,15,1.0,,,,15,idle,rapi
d_contents_return_01_46,90001,d_contents_return_01,Self,rapi,,Locale_SubScenario:d_contents_return_01_46,False,,1,idle,,3,idle,,15,31,1.0,,,,,,
d_contents_return_01_47,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_47,True,,1,no,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_48,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_48,True,,1,idle,,3,idle,,31,31,1.0,,,,,,
d_contents_return_01_49,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_49,True,,1,delight,,3,idle,,100,100,1.0,,,,,,
d_contents_return_01_50,90001,d_contents_return_01,Speech,neon,neon,Locale_SubScenario:d_contents_return_01_50,True,,1,delight,,3,delight,,S_300,S_300,1.0,,,,,,
d_contents_return_01_51,90001,d_contents_return_01,Self,,,Locale_SubScenario:d_contents_return_01_51,False,,1,delight,,3,delight,,31,31,1.0,,,,,,
d_contents_return_01_52,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_52,True,,1,delight,,3,delight,,31,31,1.0,,,,,,
d_contents_return_01_53,90001,d_contents_return_01,Speech,anis,anis,Locale_SubScenario:d_contents_return_01_53,True,,1,delight,,3,delight,,31,31,1.0,,,,,,
d_contents_return_01_54,90001,d_contents_return_01,Self,anis,,Locale_SubScenario:d_contents_return_01_54,False,,1,delight,,3,delight,,,,,,,,,,
