id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_trueflavor_03_s_1,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_1,True,crust,12,think,Kitchen,XS_120,XS_120,1.0,bgm_story_onlineshopping,,,,,
event_trueflavor_03_s_2,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_2,True,,12,think,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_3,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_3,True,,12,think,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_4,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_4,True,,12,think,,XS_120,XS_1200,1.3,,,,,,
event_trueflavor_03_s_5,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_5,True,,12,think,,XS_1200,XS_1200,1.0,,,,,,
event_trueflavor_03_s_6,40074,event_trueflavor_03_s,Self,crust,,Locale_SubScenario:event_trueflavor_03_s_6,False,,12,think,,XS_1200,XS_1200,1.0,,,,,,
event_trueflavor_03_s_7,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_7,True,,12,idle,,XS_1200,XS_120,1.3,,,,,,
event_trueflavor_03_s_8,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_8,True,,12,idle,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_9,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_9,True,,12,idle,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_10,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_10,True,,12,idle,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_11,40074,event_trueflavor_03_s,Speech,crust,crust,Locale_SubScenario:event_trueflavor_03_s_11,True,,12,delight,,XS_120,XS_120,1.0,,,,,,
event_trueflavor_03_s_12,40074,event_trueflavor_03_s,Narration,crust,,Locale_SubScenario:event_trueflavor_03_s_12,False,,12,delight,,black,black,1.0,,sfx_scn_dishdebrismany,,,,
event_trueflavor_03_s_13,40074,event_trueflavor_03_s,Narration,crust,,Locale_SubScenario:event_trueflavor_03_s_13,False,,12,delight,,black,black,1.0,,sfx_scn_foodonfire,,,,
event_trueflavor_03_s_14,40074,event_trueflavor_03_s,Narration,crust,,Locale_SubScenario:event_trueflavor_03_s_14,False,,12,delight,,black,black,1.0,,sfx_scn_tabelbell,bready,2,special,
