id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_brandnewyear_06_s_1,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_1,True,IceLand_n,113,113,1.0,bgm_story_orangepop,,,helm_p,1,idle,sugar_p,13,idle,,julia_p,3,idle,
event_brandnewyear_06_s_2,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_2,True,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_3,40005,event_brandnewyear_06_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_06_s_3,True,,113,31,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_4,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_4,True,,31,31,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_5,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_5,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_6,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_6,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_7,40005,event_brandnewyear_06_s,Choice,,,Locale_SubScenario:event_brandnewyear_06_s_7,False,,S_130,S_130,1.0,,event_brandnewyear_06_s_9,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_8,40005,event_brandnewyear_06_s,Choice,,,Locale_SubScenario:event_brandnewyear_06_s_8,False,,S_130,S_130,1.0,,event_brandnewyear_06_s_9,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_9,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_9,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_10,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_10,True,,S_130,S_130,1.0,,,,,1,idle,,13,surprise,,,3,idle,
event_brandnewyear_06_s_11,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_11,True,,S_130,S_1300,1.0,,,,,1,idle,,13,shy,,,3,idle,
event_brandnewyear_06_s_12,40005,event_brandnewyear_06_s,Self,,,Locale_SubScenario:event_brandnewyear_06_s_12,False,,S_1300,S_1300,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_13,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_13,True,,S_1300,S_130,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_14,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_14,True,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_15,40005,event_brandnewyear_06_s,Narration,,,Locale_SubScenario:event_brandnewyear_06_s_15,False,,S_130,S_130,1.0,,,sfx_scn_bikeengine,,1,idle,,13,idle,sugar_p,,3,idle,
event_brandnewyear_06_s_16,40005,event_brandnewyear_06_s,Monologue,,,Locale_SubScenario:event_brandnewyear_06_s_16,False,,S_130,S_130,1.0,,,,,1,idle,,,,,,3,idle,
event_brandnewyear_06_s_17,40005,event_brandnewyear_06_s,Narration,,,Locale_SubScenario:event_brandnewyear_06_s_17,False,,black,black,1.0,none,,,,1,idle,,,,,,3,idle,
event_brandnewyear_06_s_18,40005,event_brandnewyear_06_s,Monologue,,,Locale_SubScenario:event_brandnewyear_06_s_18,False,,black,black,1.0,,,,,1,idle,,,,,,3,idle,
event_brandnewyear_06_s_19,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_19,True,,31,31,1.0,,,,,1,no,,,,,,3,idle,
event_brandnewyear_06_s_20,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_20,True,,31,31,1.0,,,,,1,no,,,,,,3,idle,
event_brandnewyear_06_s_21,40005,event_brandnewyear_06_s,Narration,,,Locale_SubScenario:event_brandnewyear_06_s_21,False,,31,31,1.0,,,sfx_scn_bikeengine,,1,no,,,,,,3,idle,
event_brandnewyear_06_s_22,40005,event_brandnewyear_06_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_06_s_22,True,,31,31,1.0,,,,,1,idle,,,,,,3,delight,
event_brandnewyear_06_s_23,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_23,True,,31,113,1.0,bgm_story_breakaway,,,,1,idle,sugar_p,13,delight,,,3,delight,
event_brandnewyear_06_s_24,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_24,True,,113,113,1.0,,,,,1,idle,,13,delight,,,3,idle,
event_brandnewyear_06_s_25,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_25,True,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_26,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_26,True,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_27,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_27,True,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_28,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_28,True,,113,113,1.0,,,,,1,delight,,13,idle,,,3,idle,
event_brandnewyear_06_s_29,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_29,True,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_30,40005,event_brandnewyear_06_s,Self,,,Locale_SubScenario:event_brandnewyear_06_s_30,False,,113,113,1.0,,,,,1,idle,,13,idle,,,3,idle,
event_brandnewyear_06_s_31,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_31,True,,113,S_130,1.0,,,,,1,idle,,13,delight,,,3,idle,
event_brandnewyear_06_s_32,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_32,True,,S_130,S_130,1.0,,,,,1,idle,,13,delight,,,3,idle,
event_brandnewyear_06_s_33,40005,event_brandnewyear_06_s,Self,,,Locale_SubScenario:event_brandnewyear_06_s_33,False,,S_130,S_130,1.0,,,,,1,shy,,13,delight,,,3,idle,
event_brandnewyear_06_s_34,40005,event_brandnewyear_06_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_06_s_34,False,,S_10,S_10,1.0,,,,,1,shy,,13,delight,,,3,idle,
event_brandnewyear_06_s_35,40005,event_brandnewyear_06_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_06_s_35,False,,S_30,S_30,1.0,,,,,1,shy,,13,delight,,,3,surprise,
event_brandnewyear_06_s_36,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_36,True,,S_130,S_130,1.0,,,,,1,shy,,13,delight,,,3,surprise,
event_brandnewyear_06_s_37,40005,event_brandnewyear_06_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_06_s_37,True,,S_130,S_130,1.0,,,,,1,shy,,13,delight,,,3,surprise,
event_brandnewyear_06_s_38,40005,event_brandnewyear_06_s,Self,,,Locale_SubScenario:event_brandnewyear_06_s_38,False,,S_130,S_130,1.0,,,,,1,shy,,13,delight,,,3,surprise,julia_p
