id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
snowfall_global_07_default_1,80903,snowfall_global_07,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,
snowfall_global_07_default_2,80903,snowfall_global_07,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_07_1,,,,,,,,,,,,,,,,,,,,
snowfall_global_07_default_3,80903,snowfall_global_07,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,
snowfall_global_07_1,80903,snowfall_global_07,Monologue,Locale_SubScenario:snowfall_global_07_1,False,,black,black,1.0,,,,,white,,,,,,,,,,,,,,,,,,
snowfall_global_07_2,80903,snowfall_global_07,Monologue,Locale_SubScenario:snowfall_global_07_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_07_3,80903,snowfall_global_07,Monologue,Locale_SubScenario:snowfall_global_07_3,False,BambooForest_n,6,12,1.0,amb_so_bambooforest_3,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,,,,
snowfall_global_07_4,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_4,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,ludmilla_w,1,think,emma,13,worry,blanc_c,3,think,noir_c,5,surprise,,,,
snowfall_global_07_5,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_5,True,,12,12,1.0,,,,,,emma,emma,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_6,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_6,True,,12,12,1.0,,,,,,emma,emma,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_7,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_7,True,,12,12,1.0,,,,,,emma,emma,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_8,80903,snowfall_global_07,Self,Locale_SubScenario:snowfall_global_07_8,False,,12,12,1.0,,,,,,,,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_9,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_9,True,,12,12,1.0,,,,,,emma,emma,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_10,80903,snowfall_global_07,Self,Locale_SubScenario:snowfall_global_07_10,False,,12,12,1.0,,,,,,,,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_11,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_11,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_12,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_12,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_13,80903,snowfall_global_07,Self,Locale_SubScenario:snowfall_global_07_13,False,,12,12,1.0,,,,,,,,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_14,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_14,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,,1,think,,13,worry,,3,think,,5,surprise,,,,
snowfall_global_07_15,80903,snowfall_global_07,Speech,Locale_SubScenario:snowfall_global_07_15,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,,1,think,,13,worry,,3,think,,5,surprise,,,,
