id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound
event_miraclesnow2_01_e_1,40004,event_miraclesnow2_01_e,Narration,Locale_SubScenario:event_miraclesnow2_01_e_1,False,rupee_w,1,think,syuen,13,idle,Office,black,black,1.0,bgm_story_kneeldownfools,,,
event_miraclesnow2_01_e_2,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_2,True,,1,think,,13,idle,,S_130,S_130,1.0,,syuen,syuen,
event_miraclesnow2_01_e_3,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_3,True,,1,think,,13,idle,,S_130,113,1.0,,rupee_w,rupee,
event_miraclesnow2_01_e_4,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_4,True,,1,think,,13,angry,,113,113,1.0,,syuen,syuen,
event_miraclesnow2_01_e_5,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_5,True,,1,think,,13,angry,,113,113,1.0,,syuen,syuen,
event_miraclesnow2_01_e_6,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_6,True,,1,think,,13,angry,,113,113,1.0,,rupee_w,rupee,
event_miraclesnow2_01_e_7,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_7,True,,1,think,,13,angry,,113,113,1.0,,syuen,syuen,
event_miraclesnow2_01_e_8,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_8,True,,1,think,,13,angry,,113,113,1.0,,syuen,syuen,
event_miraclesnow2_01_e_9,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_9,True,,1,idle_02,,13,angry,,113,113,1.0,,rupee_w,rupee,
event_miraclesnow2_01_e_10,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_10,True,,1,idle_02,,13,delight,,113,13,1.0,,syuen,syuen,
event_miraclesnow2_01_e_11,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_11,True,,1,idle_02,,13,delight,,13,13,1.0,,syuen,syuen,
event_miraclesnow2_01_e_12,40004,event_miraclesnow2_01_e,Self,Locale_SubScenario:event_miraclesnow2_01_e_12,False,,1,idle_02,,13,delight,,13,13,1.0,,,,
event_miraclesnow2_01_e_13,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_13,True,,1,idle_02,,13,delight,,13,S_130,0.5,,syuen,syuen,
event_miraclesnow2_01_e_14,40004,event_miraclesnow2_01_e,Self,Locale_SubScenario:event_miraclesnow2_01_e_14,False,,1,idle_02,,13,delight,,S_130,S_130,1.0,,,,
event_miraclesnow2_01_e_15,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_15,True,,1,idle_02,,13,think,,S_130,13,1.0,,syuen,syuen,
event_miraclesnow2_01_e_16,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_16,True,,1,idle_02,,13,surprise,,13,13,1.0,,syuen,syuen,
event_miraclesnow2_01_e_17,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_17,True,,1,idle_02,,13,surprise,,13,S_130,0.5,,syuen,syuen,
event_miraclesnow2_01_e_18,40004,event_miraclesnow2_01_e,Self,Locale_SubScenario:event_miraclesnow2_01_e_18,False,,1,idle_02,,13,surprise,,S_130,S_130,1.0,,,,
event_miraclesnow2_01_e_19,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_19,True,,1,idle_02,,13,idle,,S_130,S_130,1.0,,syuen,syuen,
event_miraclesnow2_01_e_20,40004,event_miraclesnow2_01_e,Self,Locale_SubScenario:event_miraclesnow2_01_e_20,False,,1,idle_02,,13,idle,,S_130,S_130,1.0,,,,
event_miraclesnow2_01_e_21,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_21,True,,1,idle_02,,13,angry,,S_130,S_1300,0.5,,syuen,syuen,
event_miraclesnow2_01_e_22,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_22,True,,1,idle_02,,13,think,,S_1300,S_1300,1.0,,syuen,syuen,
event_miraclesnow2_01_e_23,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_23,False,,1,sad,,13,think,,L_100,L_100,1.0,,rupee_w,rupee,
event_miraclesnow2_01_e_24,40004,event_miraclesnow2_01_e,Narration,Locale_SubScenario:event_miraclesnow2_01_e_24,False,,1,sad,,13,think,,S_1300,S_1300,1.0,,,,sfx_scn_capsuleopen
event_miraclesnow2_01_e_25,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_25,True,,1,sad,,13,delight,,S_1300,S_130,1.0,,syuen,syuen,
event_miraclesnow2_01_e_26,40004,event_miraclesnow2_01_e,Speech,Locale_SubScenario:event_miraclesnow2_01_e_26,True,,1,sad,,13,delight,,S_130,S_130,1.0,,syuen,syuen,
