id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_filter_01,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,effects/0/stop_effect_id
event_lastkingdom1_04_s_1,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_1,False,Freezerout,1,1,1.0,event_bgm_lastkingdom_reclusivepilot,,,,,,,,,,,,,,,,,,,,,
event_lastkingdom1_04_s_2,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_2,False,,1,13,2.0,,crown,13,idle,,,,,,,,,,,,,,,,,,
event_lastkingdom1_04_s_3,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_3,True,,13,130,1.0,,,13,idle,crown,crown,kilo,1,idle,chime,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_4,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_4,True,,130,1315,1.0,,,13,idle,chime,chime,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_5,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_5,True,,1315,1315,1.0,,,13,idle,crown,crown,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_6,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_6,True,,1315,1315,1.0,,,13,idle,chime,chime,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_7,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_7,True,,1315,113,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_8,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_8,True,,113,113,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_9,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_9,False,,113,113,1.0,,,13,idle,crown,crown,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_10,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_10,True,,113,113,1.0,,,13,idle,crown,crown,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_11,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_11,False,,113,113,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_12,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_12,True,,113,S_10,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_13,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_13,True,,S_10,S_10,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_14,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_14,True,,S_10,S_100,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_15,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_15,True,,S_100,S_100,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_16,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_16,True,,S_100,S_10,1.0,,,13,idle,kilo,kilo,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_17,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_17,True,,S_10,130,1.0,,,13,idle,crown,crown,,1,idle,,15,idle,,,,,,,,,,
