id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,jump_target,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake
snowfall_episode_emma_05_1,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_1,False,emma,1,idle,DiningRoom_d,1,1,1.0,amb_so_restaurant_1,event_bgm_neverland_hugme_day,,,,,,,,,
snowfall_episode_emma_05_2,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_6,False,,1,surprise,,1,1,1.0,,,,,,,,,,,
snowfall_episode_emma_05_3,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_7,True,,1,surprise,,1,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_4,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_8,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_5,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_9,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_6,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_10,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_7,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_11,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_8,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_12,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_9,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_13,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_10,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_14,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_11,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_15,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_12,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_16,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_13,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_17,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_14,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_18,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_15,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_19,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_16,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_20,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_17,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_21,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_18,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_22,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_19,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_23,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_20,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_24,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_21,80903,snowfall_episode_emma_05,Choice,,Locale_SubScenario:snowfall_episode_emma_05_25,False,,1,idle,,10,10,1.0,,,,snowfall_episode_emma_05_23,,,,,,,
snowfall_episode_emma_05_22,80903,snowfall_episode_emma_05,Choice,,Locale_SubScenario:snowfall_episode_emma_05_26,False,,1,idle,,10,10,1.0,,,,snowfall_episode_emma_05_35,,,,,,,
snowfall_episode_emma_05_23,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_27,False,,1,idle,,10,1,1.0,,,,,,,,,,,
snowfall_episode_emma_05_24,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_28,False,,1,idle,,1,1,1.0,,,,,,,,,,,
snowfall_episode_emma_05_25,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_29,True,,1,delight,,1,1,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_26,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_30,True,,1,delight,,1,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_27,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_31,False,,1,delight,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_28,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_32,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_29,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_33,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_30,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_34,True,,1,idle,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_31,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_35,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_32,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_36,False,,1,idle,,10,10,1.0,,,,,,,,,,,
snowfall_episode_emma_05_33,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_37,True,,1,delight,,10,10,1.0,,,emma,,,,,,,,
snowfall_episode_emma_05_34,80903,snowfall_episode_emma_05,Speech,emma,Locale_SubScenario:snowfall_episode_emma_05_38,True,,1,delight,,10,10,1.0,,,emma,snowfall_episode_emma_05_40,,,,,,,
snowfall_episode_emma_05_35,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_39,False,,1,idle,,10,1,1.0,,,,,,,,,,,
snowfall_episode_emma_05_36,80903,snowfall_episode_emma_05,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_05_40,False,,1,idle,,1,1,1.0,,,,,,,,,,,
snowfall_episode_emma_05_37,80903,snowfall_episode_emma_05,Self,Self,Locale_SubScenario:snowfall_episode_emma_05_41,False,,1,idle,,1,1,1.0,,,,,,,,,,,
