id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,conversation_id
event_lionheart_01_s_1,40037,event_lionheart_01_s,Monologue,Locale_SubScenario:event_lionheart_01_s_1,False,CommanderRoom_n,Leo_1,Leo_1,1.0,bgm_story_backtonormal,,,,,,,,
event_lionheart_01_s_2,40037,event_lionheart_01_s,Monologue,Locale_SubScenario:event_lionheart_01_s_2,False,,Leo_1,Leo_1,1.0,,,,,,,,,
event_lionheart_01_s_3,40037,event_lionheart_01_s,Narration,Locale_SubScenario:event_lionheart_01_s_3,False,,Leo_1,Leo_1,1.0,,sfx_scn_knock,,,,,,,
event_lionheart_01_s_4,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_4,False,,Leo_1,Leo_1,1.0,,,,,,,,,
event_lionheart_01_s_5,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_5,True,,Leo_1,Leo_100,1.0,,,leona_no,leona_no,,,,,
event_lionheart_01_s_6,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_6,True,,Leo_100,Leo_100,1.0,,,leona_no,leona_no,,,,,
event_lionheart_01_s_7,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_7,True,,Leo_100,Leo_100,1.0,,,leona_no,leona_no,,,,,
event_lionheart_01_s_8,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_8,False,,Leo_100,Leo_100,1.0,,,leona_no,,,,,,
event_lionheart_01_s_9,40037,event_lionheart_01_s,Narration,Locale_SubScenario:event_lionheart_01_s_9,False,,Leo_100,Leo_10,1.0,,sfx_scn_autodooropen,leona_no,,leona_no,1,idle,,
event_lionheart_01_s_10,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_10,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_11,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_11,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_12,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_12,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_13,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_13,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_14,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_14,False,,Leo_10,Leo_10,1.0,,,leona_no,,,1,idle,,
event_lionheart_01_s_15,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_15,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_16,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_16,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_17,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_17,False,,Leo_10,Leo_10,1.0,,,leona_no,,,1,idle,,
event_lionheart_01_s_18,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_18,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_19,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_19,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_20,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_20,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_21,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_21,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_22,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_22,False,,Leo_10,Leo_10,1.0,,,leona_no,,,1,idle,,
event_lionheart_01_s_23,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_23,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,sad,,
event_lionheart_01_s_24,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_24,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,sad,,
event_lionheart_01_s_25,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_25,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_26,40037,event_lionheart_01_s,Speech,Locale_SubScenario:event_lionheart_01_s_26,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,1,idle,,
event_lionheart_01_s_27,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_27,False,,Leo_10,Leo_10,1.0,,,leona_no,,,1,idle,,
event_lionheart_01_s_28,40037,event_lionheart_01_s,Self,Locale_SubScenario:event_lionheart_01_s_28,False,,Leo_10,Leo_10,1.0,,,leona_no,,,1,idle,,
