id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_overzone1_04_s_1,80303,event_overzone1_04_s,Narration,Locale_MainScenario:event_overzone1_04_s_1,False,Desert_05,black,black,1.0,bgm_story_purewhite,,,,dorothy,1,think,snowwhite,3,idle
event_overzone1_04_s_2,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_2,True,,300,300,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_3,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_3,True,,100,100,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_4,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_4,True,,100,31,2.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_5,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_5,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_6,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_6,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_7,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_7,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_8,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_8,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_9,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_9,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_10,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_10,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_11,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_11,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_12,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_12,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_13,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_13,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_14,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_14,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_15,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_15,True,,31,31,1.0,none,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_16,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_16,False,,31,31,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_17,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_17,True,,31,31,1.0,event_bgm_satellitespiano,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_18,80303,event_overzone1_04_s,Narration,Locale_MainScenario:event_overzone1_04_s_18,False,,black,black,1.0,,,,sfx_scn_nikkelanding,,1,worry,,3,idle
event_overzone1_04_s_19,80303,event_overzone1_04_s,Narration,Locale_MainScenario:event_overzone1_04_s_19,False,,black,black,1.0,,,,,,1,worry,,3,idle
event_overzone1_04_s_20,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_20,True,,300,300,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_21,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_21,True,,100,100,1.0,,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_22,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_22,True,,100,100,1.0,,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_23,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_23,True,,300,300,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_24,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_24,False,,300,100,1.0,,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_25,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_25,True,,100,100,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_26,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_26,True,,100,10,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_27,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_27,True,,10,10,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_28,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_28,True,,10,10,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_29,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_29,True,,10,31,2.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_30,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_30,True,,31,31,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_31,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_31,True,,31,31,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_32,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_32,True,,31,31,1.0,,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_33,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_33,True,,31,31,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_34,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_34,True,,31,31,1.0,,dorothy,dorothy,,,1,worry,,3,idle
event_overzone1_04_s_35,80303,event_overzone1_04_s,Narration,Locale_MainScenario:event_overzone1_04_s_35,False,,31,31,1.0,,,,,,1,worry,,3,idle
event_overzone1_04_s_36,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_36,True,,31,3,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_37,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_37,True,,3,30,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_38,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_38,True,,30,30,1.0,,snowwhite,snowwhite,,,1,worry,,3,idle
event_overzone1_04_s_39,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_39,True,,10,10,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_40,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_40,True,,30,30,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_41,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_41,True,,30,300,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_42,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_42,False,,300,300,1.0,,dorothy,dorothy,,,1,think,,3,idle
event_overzone1_04_s_43,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_43,True,,300,30,1.0,,snowwhite,snowwhite,,,1,think,,3,idle
event_overzone1_04_s_44,80303,event_overzone1_04_s,Speech,Locale_MainScenario:event_overzone1_04_s_44,True,,10,10,1.0,,dorothy,dorothy,,,1,worry,,3,idle
