id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_nocallerid_05_s_1,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_1,True,CityForest_03,1,1,2.0,bgm_risk,neon,3,idle,anis,1,sad,rapi,13,idle
event_nocallerid_05_s_2,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_2,True,,1,1,1.0,,,3,idle,,1,sad,,13,idle
event_nocallerid_05_s_3,40001,event_nocallerid_05_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_05_s_3,True,,1,2,1.0,,,3,idle,,1,sad,,13,idle
event_nocallerid_05_s_4,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_4,True,,2,10,0.5,,,3,idle,,1,pain,,13,idle
event_nocallerid_05_s_5,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_5,True,,10,10,1.0,,,3,idle,,1,pain,,13,idle
event_nocallerid_05_s_6,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_6,True,,10,10,1.0,,,3,idle,,1,pain,,13,idle
event_nocallerid_05_s_7,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_7,True,,10,1,2.0,,,3,idle,,1,sad,,13,idle
event_nocallerid_05_s_8,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_8,True,,1,1,1.0,,,3,idle,,1,sad,,13,idle
event_nocallerid_05_s_9,40001,event_nocallerid_05_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_05_s_9,False,,1,2,2.0,,,3,worry,,1,sad,,13,idle
event_nocallerid_05_s_10,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_10,True,,2,10,1.0,,,3,worry,,1,angry,,13,idle
event_nocallerid_05_s_11,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_11,True,,10,10,1.0,,,3,worry,,1,angry,,13,idle
event_nocallerid_05_s_12,40001,event_nocallerid_05_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_05_s_12,True,,10,130,1.0,,,3,idle,,1,angry,,13,angry
event_nocallerid_05_s_13,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_13,True,,130,10,0.3,,,3,idle,,1,angry,,13,angry
event_nocallerid_05_s_14,40001,event_nocallerid_05_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_05_s_14,True,,10,130,1.0,,,3,idle,,1,angry,,13,think
event_nocallerid_05_s_15,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_15,False,,130,10,2.0,,,3,idle,,1,pain,,13,think
event_nocallerid_05_s_16,40001,event_nocallerid_05_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_05_s_16,False,,S_30,S_30,1.0,,,3,worry,,1,pain,,13,think
event_nocallerid_05_s_17,40001,event_nocallerid_05_s,Self,neon,Self,Locale_SubScenario:event_nocallerid_05_s_17,False,,S_30,S_30,1.0,,,3,worry,,1,pain,,13,think
event_nocallerid_05_s_18,40001,event_nocallerid_05_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_05_s_18,True,,130,130,1.0,,,3,idle,,1,pain,,13,idle
event_nocallerid_05_s_19,40001,event_nocallerid_05_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_s_19,True,,10,100,0.5,,,3,idle,,1,sad,,13,idle
