id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,jump_target,characters/0/hide_char_id,fade,play_sound,characters/1/hide_char_id
event_seayouagain1_04_s_1,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_1,True,neon_s,15,idle,anis_s,13,worry,helm_s,1,delight,mary_s,5,idle,pepper_s,3,idle,yan_s,7,idle,LogHouseIn_s,14,14,1.0,bgm_story_sundayintheark,,,,,,,,,
event_seayouagain1_04_s_2,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_2,True,,15,idle,,13,worry,,1,delight,,5,idle,,3,idle,,7,idle,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_3,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_3,True,,15,idle,,13,worry,,1,delight,,5,idle,,3,idle,,7,idle,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_4,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_4,True,,15,idle,,13,worry,,1,delight,,5,idle,,3,idle,,7,idle,,14,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_5,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_5,True,,15,idle,,13,worry,,1,delight,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_6,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_6,True,,15,idle,,13,idle,,1,delight,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_7,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_7,True,,15,surprise,,13,idle,,1,delight,,5,idle,,3,idle,,7,idle,,12,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_8,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_8,True,,15,surprise,,13,idle,,1,delight,,5,idle,,3,idle,,7,idle,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_9,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_9,True,,15,surprise,,13,delight,,1,delight,,5,idle,,3,idle,,7,idle,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_10,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_10,True,,15,idle,,13,delight,,1,delight,,5,idle,,3,idle,,7,idle,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_11,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_11,False,,15,idle,,13,delight,,1,idle,,5,idle,,3,idle,,7,idle,,10,10,1.0,,,,,,,,,,
event_seayouagain1_04_s_12,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_12,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,10,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_13,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_13,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_14,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_14,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_15,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_15,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_16,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_16,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_17,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_17,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_18,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_18,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_19,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_19,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_20,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_20,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_21,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_21,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_22,40024,event_seayouagain1_04_s,Speech,helm_s,helm_s,Locale_MainScenario:event_seayouagain1_04_s_22,True,,15,idle,,13,worry,,1,idle,,5,idle,,3,idle,,7,idle,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_23,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_23,True,,15,idle,,13,idle,,1,idle,,5,idle,,3,idle,,7,idle,,12,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_24,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_24,True,,15,idle,,13,idle,,1,idle,,5,idle,,3,idle,,7,idle,,13,XS_130,1.0,,helm_s,,,,,,,,
event_seayouagain1_04_s_25,40024,event_seayouagain1_04_s,Speech,mary_s,mary_s,Locale_MainScenario:event_seayouagain1_04_s_25,True,,15,idle,,13,idle,,,,,5,idle,,3,idle,,7,idle,,6,6,1.0,,,,,,,,,,
event_seayouagain1_04_s_26,40024,event_seayouagain1_04_s,Speech,yan_s,yan_s,Locale_MainScenario:event_seayouagain1_04_s_26,True,,15,idle,,13,idle,,,,,5,idle,,3,idle,,7,idle,,6,6,1.0,,,,,,,,,,
event_seayouagain1_04_s_27,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_27,True,,15,idle,,13,delight,,,,,5,idle,rapi_s,3,idle,,7,idle,,XS_130,XS_130,1.0,,,mary_s,pepper_s,yan_s,,,,,
event_seayouagain1_04_s_28,40024,event_seayouagain1_04_s,Speech,frima_s,frima_s,Locale_MainScenario:event_seayouagain1_04_s_28,True,,15,idle,,13,delight,frima_s,1,idle,,,,,3,idle,,,,,XS_130,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_29,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_29,True,,15,worry,,13,no,,1,idle,,,,,3,idle,,,,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_30,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_30,True,,15,worry,,13,no,,1,idle,,,,,3,idle,,,,,XS_150,XS_150,1.0,,,,,,,,,,
event_seayouagain1_04_s_31,40024,event_seayouagain1_04_s,Speech,frima_s,frima_s,Locale_MainScenario:event_seayouagain1_04_s_31,True,,15,worry,,13,no,,1,idle,,,,,3,idle,,,,,10,10,1.0,,,,,,,,,,
event_seayouagain1_04_s_32,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_32,True,,15,idle,,13,no,,1,idle,,,,,3,idle,,,,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_33,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_33,True,,15,idle,,13,angry,,1,idle,,,,,3,idle,,,,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_34,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_34,True,,15,idle,,13,idle,,1,idle,,,,,3,idle,,,,,14,XS_130,1.0,,,,,,,,,,
event_seayouagain1_04_s_35,40024,event_seayouagain1_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_seayouagain1_04_s_35,True,,15,idle,,13,idle,,1,idle,,,,,3,idle,,,,,30,30,1.0,,,,,,,,,,
event_seayouagain1_04_s_36,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_36,True,,15,idle,,13,idle,,1,idle,,,,,3,idle,,,,,XS_130,XS_130,1.0,,,,,,,,,,
event_seayouagain1_04_s_37,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_37,True,,15,no,,13,idle,,1,idle,,,,,3,idle,,,,,XS_150,XS_150,1.0,,,,,,,,,,
event_seayouagain1_04_s_38,40024,event_seayouagain1_04_s,Speech,frima_s,frima_s,Locale_MainScenario:event_seayouagain1_04_s_38,True,,15,no,,13,idle,,1,idle,,,,,3,idle,,,,,10,10,1.0,,,,,,,,,,
event_seayouagain1_04_s_39,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_39,False,,15,no,,13,no,,1,idle,,,,,3,idle,,,,,XS_130,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_40,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_40,True,,15,surprise,,13,worry,,1,idle,,,,,3,idle,,,,,13,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_41,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_41,True,,15,surprise,,13,idle,,1,idle,,,,,3,idle,,,,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_42,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_42,True,,15,surprise,,13,idle,,1,idle,,,,,3,idle,,,,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_43,40024,event_seayouagain1_04_s,Speech,frima_s,frima_s,Locale_MainScenario:event_seayouagain1_04_s_43,True,,15,surprise,,13,idle,,1,delight,,,,,3,idle,,,,,12,12,1.0,,,,,,,,,,
event_seayouagain1_04_s_44,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_44,True,,15,surprise,,13,void,,1,delight,,,,,3,idle,,,,,12,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_45,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_45,True,,15,surprise,,13,void,,1,delight,,,,,3,idle,,,,,13,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_46,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_46,True,,15,surprise,,13,void,,1,delight,,,,,3,idle,,,,,13,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_47,40024,event_seayouagain1_04_s,Choice,,,Locale_MainScenario:event_seayouagain1_04_s_47,False,,15,surprise,,13,void,,1,delight,,,,,3,idle,,,,,13,13,1.0,,,,,,event_seayouagain1_04_s_49,,,,
event_seayouagain1_04_s_48,40024,event_seayouagain1_04_s,Choice,,,Locale_MainScenario:event_seayouagain1_04_s_48,False,,15,surprise,,13,void,,1,delight,,,,,3,idle,,,,,13,13,1.0,,,,,,event_seayouagain1_04_s_51,,,,
event_seayouagain1_04_s_49,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_49,True,,15,surprise,,13,delight,,1,delight,,,,,3,idle,,,,,13,XS_130,1.0,,,,,,,,,,
event_seayouagain1_04_s_50,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_50,True,,15,surprise,,13,delight,,1,delight,,,,,3,idle,,,,,XS_130,XS_130,1.0,,,,,,event_seayouagain1_04_s_55,,,,
event_seayouagain1_04_s_51,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_51,True,,15,surprise,,13,no,,1,delight,,,,,3,idle,,,,,13,13,1.0,,,,,,,,,,
event_seayouagain1_04_s_52,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_52,True,,15,surprise,,13,no,,1,delight,,,,,3,idle,,,,,13,XS_130,1.0,,,,,,,,,,
event_seayouagain1_04_s_53,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_53,True,,15,surprise,,13,delight,,1,delight,,,,,3,idle,,,,,XS_130,XS_130,1.0,,,,,,,,,,
event_seayouagain1_04_s_54,40024,event_seayouagain1_04_s,Self,,,Locale_MainScenario:event_seayouagain1_04_s_54,False,,15,surprise,,13,delight,,1,delight,,,,,3,idle,,,,,XS_130,XS_130,1.0,,,,,,event_seayouagain1_04_s_55,,,,
event_seayouagain1_04_s_55,40024,event_seayouagain1_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_seayouagain1_04_s_55,True,,15,surprise,,13,idle,,1,delight,,,,,3,idle,,,,,XS_130,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_56,40024,event_seayouagain1_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_seayouagain1_04_s_56,True,,15,idle,,13,idle,,1,delight,,,,,3,idle,,,,,14,14,1.0,,,,,,,,,,
event_seayouagain1_04_s_57,40024,event_seayouagain1_04_s,Monologue,,,Locale_MainScenario:event_seayouagain1_04_s_57,False,,15,idle,,1,idle,,1,delight,,,,,3,idle,,,,Beach_s,black,black,1.0,none,frima_s,,rapi_s,,,neon_s,black,,
