id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_onemoretime_03_s_1,40044,event_onemoretime_03_s,Speech,poli,poli,Locale_SubScenario:event_onemoretime_03_s_1,True,bay,1,idle,clay,3,idle,miranda,5,idle,quiry,7,idle,poli,13,sad,OutpostOut,XS_130,XS_130,1.0,none,
event_onemoretime_03_s_2,40044,event_onemoretime_03_s,Speech,poli,poli,Locale_SubScenario:event_onemoretime_03_s_2,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,sad,,XS_130,XS_130,1.0,bgm_story_orangepop,
event_onemoretime_03_s_3,40044,event_onemoretime_03_s,Speech,poli,poli,Locale_SubScenario:event_onemoretime_03_s_3,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,XS_130,12,1.0,,
event_onemoretime_03_s_4,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_4,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,12,12,1.0,,
event_onemoretime_03_s_5,40044,event_onemoretime_03_s,Speech,poli,poli,Locale_SubScenario:event_onemoretime_03_s_5,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,12,12,1.0,,
event_onemoretime_03_s_6,40044,event_onemoretime_03_s,Self,poli,,Locale_SubScenario:event_onemoretime_03_s_6,False,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,12,12,1.0,,
event_onemoretime_03_s_7,40044,event_onemoretime_03_s,Speech,miranda,miranda,Locale_SubScenario:event_onemoretime_03_s_7,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_8,40044,event_onemoretime_03_s,Speech,quiry,quiry,Locale_SubScenario:event_onemoretime_03_s_8,True,,1,idle,,3,idle,,5,idle,,7,sad,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_9,40044,event_onemoretime_03_s,Speech,quiry,quiry,Locale_SubScenario:event_onemoretime_03_s_9,True,,1,idle,,3,idle,,5,idle,,7,sad,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_10,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_10,True,,1,idle,,3,idle,,5,idle,,7,sad,,13,idle,,10,10,1.0,,
event_onemoretime_03_s_11,40044,event_onemoretime_03_s,Speech,miranda,miranda,Locale_SubScenario:event_onemoretime_03_s_11,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_12,40044,event_onemoretime_03_s,Speech,miranda,miranda,Locale_SubScenario:event_onemoretime_03_s_12,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_13,40044,event_onemoretime_03_s,Speech,poli,poli,Locale_SubScenario:event_onemoretime_03_s_13,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_14,40044,event_onemoretime_03_s,Speech,quiry,quiry,Locale_SubScenario:event_onemoretime_03_s_14,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,6,6,1.0,,
event_onemoretime_03_s_15,40044,event_onemoretime_03_s,Speech,clay,clay,Locale_SubScenario:event_onemoretime_03_s_15,True,,1,idle,,3,surprise,,5,idle,,7,idle,,13,idle,,30,30,1.0,,
event_onemoretime_03_s_16,40044,event_onemoretime_03_s,Speech,quiry,quiry,Locale_SubScenario:event_onemoretime_03_s_16,True,,1,idle,,3,surprise,,5,idle,,7,delight,,13,idle,,S_70,S_70,1.0,,
event_onemoretime_03_s_17,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_17,True,,1,idle,,3,surprise,,5,idle,,7,delight,,13,idle,,10,10,1.0,,
event_onemoretime_03_s_18,40044,event_onemoretime_03_s,Monologue,bay,,Locale_SubScenario:event_onemoretime_03_s_18,False,,1,idle,,3,idle,,5,idle,,7,idle,,13,idle,,black,black,1.0,,
event_onemoretime_03_s_19,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_19,True,,1,delight,,3,idle,,5,idle,,7,idle,,13,idle,,10,10,1.0,,
event_onemoretime_03_s_20,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_20,True,,1,delight,,3,idle,,5,idle,,7,idle,,13,idle,,10,10,1.0,,
event_onemoretime_03_s_21,40044,event_onemoretime_03_s,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_s_21,True,,1,delight,,3,idle,,5,idle,,7,idle,,13,idle,,10,10,1.0,,
event_onemoretime_03_s_22,40044,event_onemoretime_03_s,Speech,quiry,quiry,Locale_SubScenario:event_onemoretime_03_s_22,True,,1,idle,,3,idle,,5,delight,,7,delight,,13,idle,,6,6,1.0,,
