id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_ce004_1_06_e_1,40055,event_ce004_1_06_e,Monologue,ce004_02,Locale_SubScenario:event_ce004_1_06_e_1,False,SimulationRoom,black,black,1.0,none,,,,ce004_01,3,idle,ce004_02,5,idle,,ce004_03,15,go,,,,ein,7,idle,zwei,13,idle,rei,1,idle,,,
event_ce004_1_06_e_2,40055,event_ce004_1_06_e,Narration,ce004_02,Locale_SubScenario:event_ce004_1_06_e_2,False,,black,black,1.0,,sfx_scn_c831_fire,,,,3,idle,,5,idle,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_3,40055,event_ce004_1_06_e,Speech,ce004_02,Locale_SubScenario:event_ce004_1_06_e_3,True,,50,50,1.0,,,ce004_02,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_4,40055,event_ce004_1_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_1_06_e_4,True,,30,30,1.0,,,ce004_01,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_5,40055,event_ce004_1_06_e,Speech,ce004_03,Locale_SubScenario:event_ce004_1_06_e_5,True,,150,150,1.0,,,ce004_03,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_6,40055,event_ce004_1_06_e,Monologue,rei,Locale_SubScenario:event_ce004_1_06_e_6,False,,black,black,1.0,,,,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_7,40055,event_ce004_1_06_e,Speech,rei,Locale_SubScenario:event_ce004_1_06_e_7,True,,XS_10,XS_10,1.0,bgm_story_kneeldownfools,,rei,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_8,40055,event_ce004_1_06_e,Narration,rei,Locale_SubScenario:event_ce004_1_06_e_8,False,,XS_10,XS_10,1.0,,sfx_scn_smalldrone,,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_9,40055,event_ce004_1_06_e,Monologue,rei,Locale_SubScenario:event_ce004_1_06_e_9,False,,XS_10,XS_10,1.0,,,,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_10,40055,event_ce004_1_06_e,Narration,ce004_01,Locale_SubScenario:event_ce004_1_06_e_10,False,,black,black,1.0,,sfx_scn_c830_fire,,,,3,idle,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,idle,,,
event_ce004_1_06_e_11,40055,event_ce004_1_06_e,Monologue,ce004_01,Locale_SubScenario:event_ce004_1_06_e_11,False,,black,black,1.0,,,,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
event_ce004_1_06_e_12,40055,event_ce004_1_06_e,Speech,rei,Locale_SubScenario:event_ce004_1_06_e_12,False,,2,2,1.0,,,rei,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
event_ce004_1_06_e_13,40055,event_ce004_1_06_e,Speech,rei,Locale_SubScenario:event_ce004_1_06_e_13,True,,2,2,1.0,,,rei,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
event_ce004_1_06_e_14,40055,event_ce004_1_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_1_06_e_14,True,,2,2,1.0,,,ce004_01,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
event_ce004_1_06_e_15,40055,event_ce004_1_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_1_06_e_15,True,,2,2,1.0,,,ce004_01,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
event_ce004_1_06_e_16,40055,event_ce004_1_06_e,Speech,rei,Locale_SubScenario:event_ce004_1_06_e_16,True,,2,2,1.0,,,rei,,,3,angry,,5,angry,,,15,go,,,,,7,idle,,13,idle,,1,cry,,,
