id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_foolburstday_13_1,130007,event_foolburstday_13,Monologue,Locale_SubScenario:event_foolburstday_13_1,False,2025FoolsDay,S_100,S_100,1.0,none,,,,,,,,,,,
event_foolburstday_13_2,130007,event_foolburstday_13,Monologue,Locale_SubScenario:event_foolburstday_13_2,False,,S_100,S_100,1.0,,,,,,,,,,,,
event_foolburstday_13_3,130007,event_foolburstday_13,Monologue,Locale_SubScenario:event_foolburstday_13_3,False,,S_100,S_100,1.0,,,,,,,,,,,,
event_foolburstday_13_4,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_4,True,,S_100,S_10,1.0,,mechashifty,mechashifty,mechashifty,1,idle,,,,,,
event_foolburstday_13_5,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_5,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_6,130007,event_foolburstday_13,Self,Locale_SubScenario:event_foolburstday_13_6,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_13_7,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_7,False,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_8,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_8,True,,S_10,S_10,1.0,bgm_story_lastbullet,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_9,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_9,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_10,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_10,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_11,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_11,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_12,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_12,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_13,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_13,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_14,130007,event_foolburstday_13,Self,Locale_SubScenario:event_foolburstday_13_14,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_13_15,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_15,True,,S_10,S_100,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_16,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_16,True,,S_100,S_100,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_17,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_17,False,,S_100,S_100,1.0,,mechashifty,,,1,idle,sfx_scn_emergencysignal,Low_2,Red,,,
event_foolburstday_13_18,130007,event_foolburstday_13,Monologue,Locale_SubScenario:event_foolburstday_13_18,False,,S_100,S_100,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_13_19,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_19,True,,S_100,S_100,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_20,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_20,True,,S_100,S_100,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_21,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_21,False,,S_100,S_100,1.0,,mechashifty,,,1,idle,sfx_scn_doorlockscifi,Low_2,Red,,,
event_foolburstday_13_22,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_22,True,,S_100,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_23,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_23,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,sfx_scn_buzzer,Low_2,Red,,,
event_foolburstday_13_24,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_24,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_13_25,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_25,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,sfx_scn_policesignal2,Low_2,Red,,,
event_foolburstday_13_26,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_26,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,sfx_scn_emergencysignal,Low_2,Red,,,
event_foolburstday_13_27,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_27,True,,S_10,1,1.0,,mechashifty,mechashifty,,1,idle,,,,shifty_s,3,worry
event_foolburstday_13_28,130007,event_foolburstday_13,Narration,Locale_SubScenario:event_foolburstday_13_28,False,,1,1,1.0,none,mechashifty,,,1,idle,sfx_scn_scifimachinegun,Low_2,,,3,worry
event_foolburstday_13_29,130007,event_foolburstday_13,Monologue,Locale_SubScenario:event_foolburstday_13_29,False,,1,1,1.0,bgm_story_tepidappleade,mechashifty,,,1,idle,,,,,3,worry
event_foolburstday_13_30,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_30,True,,1,1,1.0,,mechashifty,mechashifty,,1,idle,,,,,3,worry
event_foolburstday_13_31,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_31,True,,1,31,1.0,,shifty_s,shifty_s,,1,idle,,,,,3,worry
event_foolburstday_13_32,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_32,True,,31,31,1.0,,mechashifty,mechashifty,,1,idle,,,,,3,worry
event_foolburstday_13_33,130007,event_foolburstday_13,Self,Locale_SubScenario:event_foolburstday_13_33,False,,31,31,1.0,,mechashifty,,,1,idle,,,,,3,worry
event_foolburstday_13_34,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_34,True,,31,31,1.0,,mechashifty,mechashifty,,1,idle,,,,,3,worry
event_foolburstday_13_35,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_35,True,,31,31,1.0,,shifty_s,shifty_s,,1,idle,,,,,3,idle
event_foolburstday_13_36,130007,event_foolburstday_13,Speech,Locale_SubScenario:event_foolburstday_13_36,True,,31,31,1.0,,shifty_s,shifty_s,,1,idle,,,,,3,idle
