id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
event_seayouagain1_06_s_1,40024,event_seayouagain1_06_s,Monologue,Locale_MainScenario:event_seayouagain1_06_s_1,False,Beach_n,5,5,1.0,bgm_story_fairytalesend_if,,,,,rapi_s,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_2,40024,event_seayouagain1_06_s,Narration,Locale_MainScenario:event_seayouagain1_06_s_2,False,,5,5,1.0,,sfx_scn_crackle,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_3,40024,event_seayouagain1_06_s,Monologue,Locale_MainScenario:event_seayouagain1_06_s_3,False,,5,5,1.0,,,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_4,40024,event_seayouagain1_06_s,Self,Locale_MainScenario:event_seayouagain1_06_s_4,False,,5,5,1.0,,,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_5,40024,event_seayouagain1_06_s,Speech,Locale_MainScenario:event_seayouagain1_06_s_5,True,,5,50,1.0,,,rapi_s,rapi_s,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_6,40024,event_seayouagain1_06_s,Speech,Locale_MainScenario:event_seayouagain1_06_s_6,True,,50,50,1.0,,,rapi_s,rapi_s,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_7,40024,event_seayouagain1_06_s,Self,Locale_MainScenario:event_seayouagain1_06_s_7,False,,50,50,1.0,,,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_8,40024,event_seayouagain1_06_s,Monologue,Locale_MainScenario:event_seayouagain1_06_s_8,False,,50,1,1.0,,,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_9,40024,event_seayouagain1_06_s,Narration,Locale_MainScenario:event_seayouagain1_06_s_9,False,,1,1,1.0,,sfx_scn_crackle,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_s_10,40024,event_seayouagain1_06_s,Self,Locale_MainScenario:event_seayouagain1_06_s_10,False,,1,1,1.0,,,,,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
