id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade
event_goldencoinrush2_b03_s_1,40049,event_goldencoinrush2_b03_s,Narration,Locale_MainScenario:event_goldencoinrush2_b03_s_1,False,mustang,9,idle,CoinRushMainHall,9,9,1.0,event_bgm_goldcoinrush_inst,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_2,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_2,True,,9,idle,,9,9,1.0,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_3,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_3,True,,9,idle,,9,9,1.0,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_4,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_4,True,,9,delight,,9,L_90,0.7,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_5,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_5,True,,9,delight,,L_90,L_90,1.0,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_6,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_6,True,,9,delight,,L_90,L_90,1.0,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_7,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_7,True,,9,delight,,L_90,L_90,1.0,,mustang,mustang,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_8,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_8,True,,9,delight,,L_90,L_90,1.0,,mustang,mustang,soda_b,5,idle,alice_b,3,idle,,,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_9,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_9,True,,9,delight,,L_90,4,1.0,,audience01,audience01,,5,idle,,3,idle,sfx_scn_crowdcheer,Low_2,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_10,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_10,True,,9,delight,,4,4,1.0,,audience01,audience01,,5,idle,,3,idle,,Low_2,,,,,,,,,,,,,
event_goldencoinrush2_b03_s_11,40049,event_goldencoinrush2_b03_s,Speech,Locale_MainScenario:event_goldencoinrush2_b03_s_11,True,,9,delight,,4,S_50,1.0,,soda_b,soda_b,,5,surprise,,3,idle,,,,,,,,,,,,,,,
