id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,fade,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_seayouagain2_06_s_1,40025,event_seayouagain2_06_s,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_06_s_1,True,rapi_s,15,idle,anis_s,17,idle,EventScene_SeaYouAgain_01_1,1517,1517,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_2,40025,event_seayouagain2_06_s,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_06_s_2,True,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_3,40025,event_seayouagain2_06_s,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_06_s_3,True,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_4,40025,event_seayouagain2_06_s,Self,,,Locale_MainScenario:event_seayouagain2_06_s_4,False,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_5,40025,event_seayouagain2_06_s,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_06_s_5,True,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_6,40025,event_seayouagain2_06_s,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_06_s_6,True,,15,delight,,17,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_s_7,40025,event_seayouagain2_06_s,Speech,rapi_s,rapi,Locale_MainScenario:event_seayouagain2_06_s_7,True,,15,delight,,17,idle,,1517,1517,1.0,,helm_s,1,idle,mast,3,sad,anchor,5,idle,,,,,,,,
event_seayouagain2_06_s_8,40025,event_seayouagain2_06_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_s_8,True,,15,delight,,17,idle,EzsUp,black,black,1.0,,,1,idle,,3,sad,,5,idle,rapi_s,anis_s,black,,,,,
event_seayouagain2_06_s_9,40025,event_seayouagain2_06_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_s_9,True,,,,,,,,53,53,1.0,,,1,idle,,3,sad,,5,idle,,,,,,,,
event_seayouagain2_06_s_10,40025,event_seayouagain2_06_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_s_10,True,,,,,,,,53,53,1.0,,,1,idle,,3,sad,,5,idle,,,,,,,,
event_seayouagain2_06_s_11,40025,event_seayouagain2_06_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_s_11,True,,,,,,,,53,53,1.0,,,1,idle,,3,sad,,5,idle,,,,,,,,
