id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,play_sound,speaker
event_ce004_2_02_s_1,40056,event_ce004_2_02_s,Monologue,Locale_SubScenario:event_ce004_2_02_s_1,False,Classroom,6,6,1.0,bgm_inark,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_02_s_2,40056,event_ce004_2_02_s,Narration,Locale_SubScenario:event_ce004_2_02_s_2,False,,6,6,1.0,,marciana,marciana,7,idle,ce004_04,5,idle,ein,3,idle,ce004_02_s,1,think,zwei,13,idle,ce004_01_s,15,think,rei,17,angry,ce004_03_s,19,delight,sfx_scn_autodooropen,
event_ce004_2_02_s_3,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_3,True,,6,6,1.0,,marciana,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_4,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_4,True,,6,2,1.0,,ein,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,ein
event_ce004_2_02_s_5,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_5,False,,2,2,1.0,,ce004_02_s,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,ce004_02
event_ce004_2_02_s_6,40056,event_ce004_2_02_s,Monologue,Locale_SubScenario:event_ce004_2_02_s_6,False,,2,2,1.0,,ce004_02_s,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
event_ce004_2_02_s_7,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_7,True,,2,14,1.0,,zwei,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,zwei
event_ce004_2_02_s_8,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_8,True,,14,14,1.0,,ce004_01_s,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,ce004_01
event_ce004_2_02_s_9,40056,event_ce004_2_02_s,Monologue,Locale_SubScenario:event_ce004_2_02_s_9,False,,14,14,1.0,,ce004_01_s,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
event_ce004_2_02_s_10,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_10,True,,14,18,1.0,,ce004_03_s,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,ce004_03
event_ce004_2_02_s_11,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_11,True,,18,18,1.0,,rei,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,rei
event_ce004_2_02_s_12,40056,event_ce004_2_02_s,Monologue,Locale_SubScenario:event_ce004_2_02_s_12,False,,18,18,1.0,,rei,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
event_ce004_2_02_s_13,40056,event_ce004_2_02_s,Self,Locale_SubScenario:event_ce004_2_02_s_13,False,,6,6,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
event_ce004_2_02_s_14,40056,event_ce004_2_02_s,Self,Locale_SubScenario:event_ce004_2_02_s_14,False,,6,6,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
event_ce004_2_02_s_15,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_15,True,,6,6,1.0,,ce004_04,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_16,40056,event_ce004_2_02_s,Self,Locale_SubScenario:event_ce004_2_02_s_16,False,,6,6,1.0,,ce004_04,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,
