id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
event_ce02_2_05_s_1,40027,event_ce02_2_05_s,Monologue,Locale_SubScenario:event_ce02_2_05_s_1,False,c1002_02,9,idle,b0006_02,7,idle,6000d_02,5,idle,anis,3,void,neon,1,idle,rapi,13,idle,ce_02_01,15,idle,ce_02_npc_01,17,think,TechIndoor_n,9,3,2.0,ambient_scn_wind,,,,,,,,,,,,
event_ce02_2_05_s_2,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_2,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,3,3,1.0,,anis,anis,,,,,,,,,,
event_ce02_2_05_s_3,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_3,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,13,13,1.0,,rapi,rapi,,,,,,,,,,
event_ce02_2_05_s_4,40027,event_ce02_2_05_s,Self,Locale_SubScenario:event_ce02_2_05_s_4,False,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,13,13,1.0,,rapi,,,,,,,,,,,
event_ce02_2_05_s_5,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_5,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,3,3,1.0,,anis,anis,,,,,,,,,,
event_ce02_2_05_s_6,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_6,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,17,17,1.0,,ce_02_npc_01,ce_02_npc_01,,,,,,,,,,
event_ce02_2_05_s_7,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_7,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,17,17,1.0,,ce_02_npc_01,ce_02_npc_01,,,,,,,,,,
event_ce02_2_05_s_8,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_8,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,17,17,1.0,,ce_02_npc_01,ce_02_npc_01,,,,,,,,,,
event_ce02_2_05_s_9,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_9,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,31,31,1.0,,anis,anis,,,,,,,,,,
event_ce02_2_05_s_10,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_10,True,,9,idle,,7,idle,,5,idle,,3,void,,1,worry,,13,idle,,15,idle,,17,think,,31,31,1.0,,neon,neon,,,,,,,,,,
event_ce02_2_05_s_11,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_11,False,,9,idle,,7,idle,,5,idle,,3,void,,1,worry,,13,idle,,15,idle,,17,think,,31,15,2.0,,ce_02_01,ce_02_01,,,,,,,,,,
event_ce02_2_05_s_12,40027,event_ce02_2_05_s,Monologue,Locale_SubScenario:event_ce02_2_05_s_12,False,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,15,150,1.0,,ce_02_01,,,,,,,,,,,
event_ce02_2_05_s_13,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_13,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,150,150,1.0,,ce_02_01,ce_02_01,,,,,,,,,,
event_ce02_2_05_s_14,40027,event_ce02_2_05_s,Self,Locale_SubScenario:event_ce02_2_05_s_14,False,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,150,150,1.0,,ce_02_01,,,,,,,,,,,
event_ce02_2_05_s_15,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_15,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,3,3,1.0,,anis,anis,,,,,,,,,,
event_ce02_2_05_s_16,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_16,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,3,3,1.0,,anis,anis,,,,,,,,,,
event_ce02_2_05_s_17,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_17,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,3,13,1.0,,rapi,rapi,,,,,,,,,,
event_ce02_2_05_s_18,40027,event_ce02_2_05_s,Speech,Locale_SubScenario:event_ce02_2_05_s_18,True,,9,idle,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,think,,13,130,1.0,,rapi,rapi,,,,,,,,,,
