id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_absolute1_intermission_01_1,40086,event_absolute1_intermission_01,Monologue,vesti,Locale_MainScenario:event_absolute1_intermission_01_1,False,GoodOffice,black,black,1.0,event_bgm_absolute_1,,,,rapi,4,idle,,eunhwa,2,idle,,vesti,12,idle,,emma,14,idle,
event_absolute1_intermission_01_2,40086,event_absolute1_intermission_01,Monologue,vesti,Locale_MainScenario:event_absolute1_intermission_01_2,False,,black,black,1.0,,,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_3,40086,event_absolute1_intermission_01,Monologue,vesti,Locale_MainScenario:event_absolute1_intermission_01_3,False,,black,black,1.0,,,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_4,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_4,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_5,40086,event_absolute1_intermission_01,Speech,vesti,Locale_MainScenario:event_absolute1_intermission_01_5,True,,1,1,1.0,,vesti,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_6,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_6,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
event_absolute1_intermission_01_7,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_7,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
event_absolute1_intermission_01_8,40086,event_absolute1_intermission_01,Speech,emma,Locale_MainScenario:event_absolute1_intermission_01_8,True,,1,13,1.3,,emma,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
event_absolute1_intermission_01_9,40086,event_absolute1_intermission_01,Speech,emma,Locale_MainScenario:event_absolute1_intermission_01_9,True,,13,13,1.0,,emma,,,,4,idle,,,2,angry,,,12,idle,,,14,delight,
event_absolute1_intermission_01_10,40086,event_absolute1_intermission_01,Speech,vesti,Locale_MainScenario:event_absolute1_intermission_01_10,True,,13,13,1.0,,vesti,,,,4,idle,,,2,angry,,,12,idle,,,14,delight,
event_absolute1_intermission_01_11,40086,event_absolute1_intermission_01,Speech,emma,Locale_MainScenario:event_absolute1_intermission_01_11,True,,13,13,1.0,,emma,,,,4,idle,,,2,angry,,,12,idle,,,14,delight,
event_absolute1_intermission_01_12,40086,event_absolute1_intermission_01,Speech,rapi,Locale_MainScenario:event_absolute1_intermission_01_12,True,,40,40,1.0,,rapi,,,,4,idle,,,2,angry,,,12,idle,,,14,delight,
event_absolute1_intermission_01_13,40086,event_absolute1_intermission_01,Speech,vesti,Locale_MainScenario:event_absolute1_intermission_01_13,True,,1,1,1.0,,vesti,,,,4,idle,,,2,angry,,,12,idle,,,14,delight,
event_absolute1_intermission_01_14,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_14,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,idle,,,12,idle,,,14,delight,
event_absolute1_intermission_01_15,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_15,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,idle,,,12,idle,,,14,delight,
event_absolute1_intermission_01_16,40086,event_absolute1_intermission_01,Speech,emma,Locale_MainScenario:event_absolute1_intermission_01_16,True,,140,140,1.0,,emma,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_17,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_17,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_18,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_18,True,,1,1,1.0,,eunhwa,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_19,40086,event_absolute1_intermission_01,Speech,vesti,Locale_MainScenario:event_absolute1_intermission_01_19,True,,1,1,1.0,,vesti,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_20,40086,event_absolute1_intermission_01,Speech,emma,Locale_MainScenario:event_absolute1_intermission_01_20,True,,140,140,1.0,,emma,,,,4,idle,,,2,idle,,,12,idle,,,14,idle,
event_absolute1_intermission_01_21,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_21,True,,1,20,1.3,,eunhwa,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
event_absolute1_intermission_01_22,40086,event_absolute1_intermission_01,Speech,eunhwa,Locale_MainScenario:event_absolute1_intermission_01_22,True,,20,20,1.0,,eunhwa,,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
event_absolute1_intermission_01_23,40086,event_absolute1_intermission_01,Monologue,vesti,Locale_MainScenario:event_absolute1_intermission_01_23,True,,20,20,1.0,,,Grey,,,4,idle,,,2,angry,,,12,idle,,,14,idle,
