id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_newyearnewsword_05_s_1,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_1,False,ArkRuinIndoor,3,1,2.0,sfx_scn_door_creak,ambient_scn_wind,,,,hongryeon_o,1,idle,,,,,,
event_newyearnewsword_05_s_2,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_2,False,,1,S_10,1.0,,,,,,,1,idle,,,,,,
event_newyearnewsword_05_s_3,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_3,False,,S_10,S_10,1.0,,,hongryeon_o,hongryeon_o,,,1,idle,,,,,,
event_newyearnewsword_05_s_4,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_4,False,,S_10,S_10,1.0,sfx_scn_wind_howling,bgm_intotheswarm,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_5,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_5,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_6,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_6,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_7,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_7,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_8,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_8,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_9,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_9,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_10,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_10,False,,S_10,S_10,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_11,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_11,True,,S_10,S_100,1.0,,,hongryeon_o,hongryeon_o,,,1,think,,,,,,
event_newyearnewsword_05_s_12,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_12,False,,S_100,S_100,1.0,,,hongryeon_o,hongryeon_o,,,1,sad,,,,,,
event_newyearnewsword_05_s_13,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_13,False,,S_100,S_100,1.0,sfx_scn_door_creak,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_14,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_14,False,,S_100,S_100,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_15,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_15,False,,black,black,1.0,,,hongryeon_o,,,,1,idle,,,,,,
event_newyearnewsword_05_s_16,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_16,True,,black,black,1.0,,none,janghwa,janghwa,,,1,idle,,,,,,
event_newyearnewsword_05_s_17,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_17,True,,black,black,1.0,,,janghwa,janghwa,,,1,idle,,,,,,
event_newyearnewsword_05_s_18,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_18,True,,S_100,S_10,1.0,,,hongryeon_o,hongryeon_o,,,1,surprise,,,,,,
event_newyearnewsword_05_s_19,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_19,False,,S_10,S_10,1.0,sfx_scn_heavyknock,,hongryeon_o,,Low_2,,1,surprise,,,,,,
event_newyearnewsword_05_s_20,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_20,False,,S_10,S_10,1.0,,,hongryeon_o,hongryeon_o,,,1,surprise,,,,,,
event_newyearnewsword_05_s_21,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_21,True,,S_10,S_10,1.0,,,unknown,unknown,,,1,surprise,,,,,,
event_newyearnewsword_05_s_22,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_22,True,,S_10,S_10,1.0,,,hongryeon_o,hongryeon_o,,,1,surprise,,,,,,
event_newyearnewsword_05_s_23,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_23,True,,S_10,S_10,1.0,,bgm_enemyclose,unknown,unknown,,,1,surprise,,,,,,
event_newyearnewsword_05_s_24,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_24,False,,S_10,S_10,1.0,,,hongryeon_o,hongryeon_o,,,1,surprise,,,,,,
event_newyearnewsword_05_s_25,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_25,False,TechIndoor_n,black,black,1.0,sfx_scn_dooropenfast,,hongryeon_o,,,,1,surprise,,,,,,
event_newyearnewsword_05_s_26,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_26,False,,S_10,S_130,1.0,,,hongryeon_o,,,,13,surprise,,,,,,
event_newyearnewsword_05_s_27,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_27,True,,S_130,S_130,1.0,,,fallnikke,fallnikke,,,13,surprise,,,,,,
event_newyearnewsword_05_s_28,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_28,False,,S_130,13,1.0,,,fallnikke,,,,13,surprise,,,,,,
event_newyearnewsword_05_s_29,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_29,False,,13,18,2.0,,,fallnikke,,,,13,surprise,nearbattlenikke1,17,idle,nearbattlenikke2,19,idle
event_newyearnewsword_05_s_30,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_30,True,,18,18,1.0,,,hongryeon_o,hongryeon_o,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_31,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_31,False,,18,13,1.0,,,hongryeon_o,,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_32,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_32,True,,13,13,1.0,,,hongryeon_o,hongryeon_o,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_33,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_33,False,,13,S_1300,0.5,sfx_scn_grab,,hongryeon_o,,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_34,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_34,False,,S_1300,S_1300,1.0,,,hongryeon_o,,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_35,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_35,True,,S_1300,S_1300,1.0,,,fallnikke,fallnikke,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_36,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_36,True,,S_1300,S_1300,1.0,,,hongryeon_o,hongryeon_o,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_37,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_37,True,,S_1300,S_1300,1.0,,,fallnikke,fallnikke,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_38,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_38,True,,S_1300,S_1300,1.0,,,hongryeon_o,hongryeon_o,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_39,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_39,False,,S_1300,S_130,1.0,sfx_scn_drawingsword,,hongryeon_o,,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_40,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_40,False,,S_130,S_130,1.0,,,hongryeon_o,,,,13,surprise,,17,idle,,19,idle
event_newyearnewsword_05_s_41,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_41,True,,S_130,S_130,1.0,,,hongryeon_o,hongryeon_o,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_42,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_42,False,,18,18,1.0,,,hongryeon_o,,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_43,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_43,False,,18,18,1.0,,,hongryeon_o,,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_44,40036,event_newyearnewsword_05_s,Narration,Locale_SubScenario:event_newyearnewsword_05_s_44,False,,S_130,S_130,1.0,,,hongryeon_o,,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_45,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_45,True,,S_130,S_130,1.0,,,hongryeon_o,hongryeon_o,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_46,40036,event_newyearnewsword_05_s,Speech,Locale_SubScenario:event_newyearnewsword_05_s_46,True,,S_130,S_1300,1.0,,,hongryeon_o,hongryeon_o,,,13,angry,,17,idle,,19,idle
event_newyearnewsword_05_s_47,40036,event_newyearnewsword_05_s,Monologue,Locale_SubScenario:event_newyearnewsword_05_s_47,False,,black,black,1.0,sfx_scn_drawingsword,,,,,,13,angry,,17,idle,,19,idle
