id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/8/hide_char_id,play_sound,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
event_exnii2_03_e_1,40071,event_exnii2_03_e,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_03_e_1,True,mast,5,idle,anchor,3,idle,ce004_03,1,idle,EzsUp,3,30,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_2,40071,event_exnii2_03_e,Speech,mast,mast,Locale_SubScenario:event_exnii2_03_e_2,True,,5,delight2,,3,idle,,1,idle,,30,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_3,40071,event_exnii2_03_e,Speech,mast,mast,Locale_SubScenario:event_exnii2_03_e_3,True,,5,delight2,,3,idle,,1,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_4,40071,event_exnii2_03_e,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_03_e_4,True,,5,delight2,,3,delight,,1,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_5,40071,event_exnii2_03_e,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_03_e_5,True,,5,delight2,,3,delight,,1,delight,,event_exnii_talk_01,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_6,40071,event_exnii2_03_e,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_03_e_6,True,,5,delight2,,3,delight,,1,idle,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_7,40071,event_exnii2_03_e,Speech,mast,mast,Locale_SubScenario:event_exnii2_03_e_7,True,,5,idle2,,3,delight,,1,idle,,2,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_8,40071,event_exnii2_03_e,Self,mast,,Locale_SubScenario:event_exnii2_03_e_8,False,,5,idle2,,3,idle,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_03_e_9,40071,event_exnii2_03_e,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_03_e_9,True,,5,idle2,,3,idle,,1,idle,,13,13,1.0,,mast,anchor,maxwell,13,idle,liter,15,idle,rapi,17,idle,black,,,,,,,,,,,,,
event_exnii2_03_e_10,40071,event_exnii2_03_e,Speech,liter,liter,Locale_SubScenario:event_exnii2_03_e_10,True,,,,,,,,1,idle,,13,15,1.0,,,,,13,idle,,15,idle,,17,idle,,,,,,,,,,,,,,
