id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,jump_target
event_arcanearchive_06_s_1,40077,event_arcanearchive_06_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_06_s_1,False,arcana,1,idle,Library,L_10,L_10,1.0,bgm_chapter32_field_advance,,,,
event_arcanearchive_06_s_2,40077,event_arcanearchive_06_s,Self,arcana,Locale_SubScenario:event_arcanearchive_06_s_2,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_3,40077,event_arcanearchive_06_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_06_s_3,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_4,40077,event_arcanearchive_06_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_06_s_4,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_5,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_5,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_6,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_6,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_7,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_7,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_8,40077,event_arcanearchive_06_s,Self,arcana,Locale_SubScenario:event_arcanearchive_06_s_8,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_9,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_9,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_10,40077,event_arcanearchive_06_s,Self,arcana,Locale_SubScenario:event_arcanearchive_06_s_10,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_11,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_11,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_12,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_12,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_13,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_13,True,,1,idle,,L_10,L_10,1.0,,arcana,,,
event_arcanearchive_06_s_14,40077,event_arcanearchive_06_s,Self,arcana,Locale_SubScenario:event_arcanearchive_06_s_14,False,,1,idle,,L_10,L_10,1.0,,,,,
event_arcanearchive_06_s_15,40077,event_arcanearchive_06_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_06_s_15,True,,1,angry,,L_10,L_100,1.0,,arcana,,,
