id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_newflavor_05_s_1,40073,event_newflavor_05_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_s_1,True,CityForest_02_n,XS_120,XS_120,1.0,none,,,,,crust,12,idle,
event_newflavor_05_s_2,40073,event_newflavor_05_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_s_2,True,,XS_120,XS_120,1.0,,,,,,,12,idle,
event_newflavor_05_s_3,40073,event_newflavor_05_s,Self,crust,,Locale_SubScenario:event_newflavor_05_s_3,False,,XS_120,XS_120,1.0,,,,,,,12,idle,
event_newflavor_05_s_4,40073,event_newflavor_05_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_s_4,True,,XS_120,XS_120,1.0,,,,,,,12,delight,
event_newflavor_05_s_5,40073,event_newflavor_05_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_s_5,True,,XS_120,12,1.3,,,,,,,12,idle,
event_newflavor_05_s_6,40073,event_newflavor_05_s,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_s_6,True,,12,12,1.0,,,,,,,12,idle,
event_newflavor_05_s_7,40073,event_newflavor_05_s,Self,crust,,Locale_SubScenario:event_newflavor_05_s_7,False,,12,12,1.0,,,,,,,12,idle,
event_newflavor_05_s_8,40073,event_newflavor_05_s,Monologue,crust,,Locale_SubScenario:event_newflavor_05_s_8,False,,black,black,1.0,,,bready,2,pain,,12,idle,crust
event_newflavor_05_s_9,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_9,False,,S_20,S_200,1.3,,,,2,pain,,,,
event_newflavor_05_s_10,40073,event_newflavor_05_s,Monologue,bready,,Locale_SubScenario:event_newflavor_05_s_10,False,,S_200,S_200,1.0,bgm_story_fairytalesend_if,,,2,pain,,,,
event_newflavor_05_s_11,40073,event_newflavor_05_s,Self,bready,,Locale_SubScenario:event_newflavor_05_s_11,False,,S_200,S_200,1.0,,,,2,pain,,,,
event_newflavor_05_s_12,40073,event_newflavor_05_s,Self,bready,,Locale_SubScenario:event_newflavor_05_s_12,False,,S_200,S_200,1.0,,,,2,pain,,,,
event_newflavor_05_s_13,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_13,True,,S_200,S_20,1.3,,,,2,no,,,,
event_newflavor_05_s_14,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_14,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_15,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_15,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_16,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_16,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_17,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_17,True,,S_20,S_20,1.0,,,,2,sad,,,,
event_newflavor_05_s_18,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_18,True,,S_20,S_20,1.0,,,,2,sad,,,,
event_newflavor_05_s_19,40073,event_newflavor_05_s,Self,bready,,Locale_SubScenario:event_newflavor_05_s_19,False,,S_20,S_20,1.0,,,,2,sad,,,,
event_newflavor_05_s_20,40073,event_newflavor_05_s,Self,bready,,Locale_SubScenario:event_newflavor_05_s_20,False,,S_20,S_20,1.0,,,,2,sad,,,,
event_newflavor_05_s_21,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_21,False,,S_20,S_20,1.0,,,,2,sad,,,,
event_newflavor_05_s_22,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_22,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_23,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_23,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_24,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_24,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_25,40073,event_newflavor_05_s,Self,bready,,Locale_SubScenario:event_newflavor_05_s_25,False,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_26,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_26,True,,S_20,S_20,1.0,,,,2,no,,,,
event_newflavor_05_s_27,40073,event_newflavor_05_s,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_s_27,True,,S_20,S_20,1.0,,,,2,no,,,,
