id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
event_coinsinrush2_05_s_1,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_1,False,velvet,3,delight_02,milk_b,1,angry1,ade_b,13,no,CoinRushMainHall,black,black,1.0,sfx_scn_bikeengine,event_bgm_mir_title,,,,,,
event_coinsinrush2_05_s_2,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_2,True,,3,delight_02,,1,angry1,,13,no,,30,300,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_3,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_3,True,,3,delight_02,,1,angry1,,13,no,,300,300,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_4,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_4,True,,3,delight_02,,1,angry1,,13,no,,300,12,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_5,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_5,True,,3,delight_02,,1,angry1,,13,no,,12,12,1.0,,,ade_b,ade_b,,,,
event_coinsinrush2_05_s_6,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_6,False,,3,delight_02,,1,angry1,,13,no,,black,black,1.0,sfx_scn_paperknife,,,,,,,
event_coinsinrush2_05_s_7,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_7,True,,3,delight_02,,1,angry1,,13,no,,300,30,0.5,,,velvet,velvet,,,,
event_coinsinrush2_05_s_8,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_8,False,,3,delight_02,,1,angry1,,13,no,,30,30,1.0,,,velvet,,,,,
event_coinsinrush2_05_s_9,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_9,True,,3,smile_02,,1,angry1,,13,no,,30,30,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_10,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_10,False,,3,smile_02,,1,angry1,,13,no,,30,30,1.0,,,velvet,,,,,
