id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_coinsinrush1_03_s_1,40088,event_coinsinrush1_03_s,Monologue,Locale_MainScenario:event_coinsinrush1_03_s_1,False,CoinRushIndoor,2,2,1.0,none,,,,,milk,1,angry,exia,3,surprise,coinrushsecurity,13,idle,,rouge,15,think
event_coinsinrush1_03_s_2,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_2,True,,2,2,1.0,bgm_story_tepidappleade,exia,exia,,,,1,angry,,3,surprise,,13,idle,,,15,think
event_coinsinrush1_03_s_3,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_3,True,,2,2,1.0,,milk,milk,,,,1,angry,,3,surprise,,13,idle,,,15,think
event_coinsinrush1_03_s_4,40088,event_coinsinrush1_03_s,Monologue,Locale_MainScenario:event_coinsinrush1_03_s_4,False,,2,2,1.0,,,,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_5,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_5,True,,2,12,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_6,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_6,True,,12,12,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_7,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_7,True,,12,12,1.0,,milk,milk,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_8,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_8,True,,12,12,1.0,,milk,milk,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_9,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_9,True,,12,12,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,sad,,13,idle,,,15,think
event_coinsinrush1_03_s_10,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_10,True,,S_30,S_30,1.0,,exia,exia,,,,1,angry,,3,delight,,13,idle,,,15,think
event_coinsinrush1_03_s_11,40088,event_coinsinrush1_03_s,Self,Locale_MainScenario:event_coinsinrush1_03_s_11,False,,130,130,1.0,,exia,,,,,1,angry,,3,delight,,13,idle,,,15,think
event_coinsinrush1_03_s_12,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_12,True,,130,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,delight,,13,idle,,,15,think
event_coinsinrush1_03_s_13,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_13,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,think
event_coinsinrush1_03_s_14,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_14,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_15,40088,event_coinsinrush1_03_s,Self,Locale_MainScenario:event_coinsinrush1_03_s_15,False,,14,14,1.0,,rouge,,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_16,40088,event_coinsinrush1_03_s,Self,Locale_MainScenario:event_coinsinrush1_03_s_16,False,,14,14,1.0,,rouge,,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_17,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_17,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_18,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_18,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_19,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_19,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_20,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_20,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_21,40088,event_coinsinrush1_03_s,Monologue,Locale_MainScenario:event_coinsinrush1_03_s_21,False,,14,130,1.0,,coinrushsecurity,,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_22,40088,event_coinsinrush1_03_s,Monologue,Locale_MainScenario:event_coinsinrush1_03_s_22,False,,130,14,1.0,,rouge,,sfx_scn_grabhands,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_23,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_23,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_24,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_24,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_25,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_25,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,idle
event_coinsinrush1_03_s_26,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_26,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_27,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_27,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_28,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_28,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_29,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_29,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_30,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_30,True,,14,14,1.0,,rouge,rouge,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_31,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_31,False,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,delight
event_coinsinrush1_03_s_32,40088,event_coinsinrush1_03_s,Speech,Locale_MainScenario:event_coinsinrush1_03_s_32,True,,14,14,1.0,,coinrushsecurity,coinrushsecurity,,,,1,angry,,3,idle,,13,idle,,,15,delight
