id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
event_goldenship_06_s_1,40023,event_goldenship_06_s,Monologue,Locale_SubScenario:event_goldenship_06_s_1,False,mast,1,idle,anchor,3,idle,frima_s,13,idle,CityForest_04,black,black,1.0,event_bgm_goldenship,,
event_goldenship_06_s_2,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_2,True,,1,idle,,3,idle,,13,idle,,S_10,S_10,1.0,,mast,mast
event_goldenship_06_s_3,40023,event_goldenship_06_s,Self,Locale_SubScenario:event_goldenship_06_s_3,False,,1,idle,,3,idle,,13,idle,,S_10,S_10,1.0,,,
event_goldenship_06_s_4,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_4,True,,1,idle,,3,idle,,13,idle,,S_10,S_10,1.0,,mast,mast
event_goldenship_06_s_5,40023,event_goldenship_06_s,Monologue,Locale_SubScenario:event_goldenship_06_s_5,False,,1,idle,,3,idle,,13,idle,,S_10,S_10,1.0,,,
event_goldenship_06_s_6,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_6,True,,1,idle,,3,idle,,13,idle,,S_10,31,1.0,,anchor,anchor
event_goldenship_06_s_7,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_7,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,anchor,anchor
event_goldenship_06_s_8,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_8,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,anchor,anchor
event_goldenship_06_s_9,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_9,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,mast,mast
event_goldenship_06_s_10,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_10,True,,1,idle,,3,idle,,13,idle,,31,113,1.0,,frima_s,frima
event_goldenship_06_s_11,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_11,True,,1,idle,,3,idle,,13,idle,,113,113,1.0,,mast,mast
event_goldenship_06_s_12,40023,event_goldenship_06_s,Monologue,Locale_SubScenario:event_goldenship_06_s_12,False,,1,idle,,3,idle,,13,idle,,black,black,1.0,,,
event_goldenship_06_s_13,40023,event_goldenship_06_s,Monologue,Locale_SubScenario:event_goldenship_06_s_13,False,,1,idle,,3,idle,,13,idle,,black,black,1.0,,,
event_goldenship_06_s_14,40023,event_goldenship_06_s,Monologue,Locale_SubScenario:event_goldenship_06_s_14,False,,1,idle,,3,idle,,13,idle,,black,black,1.0,,,
event_goldenship_06_s_15,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_15,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,anchor,anchor
event_goldenship_06_s_16,40023,event_goldenship_06_s,Speech,Locale_SubScenario:event_goldenship_06_s_16,True,,1,idle,,3,idle,,13,idle,,31,31,1.0,,mast,mast
event_goldenship_06_s_17,40023,event_goldenship_06_s,Self,Locale_SubScenario:event_goldenship_06_s_17,False,,1,idle,,3,idle,,13,idle,,31,31,1.0,,,
