id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_bluewaterisland2_02_e_1,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_1,True,Beach_d,XS_20,XS_20,1.0,bgm_story_sundayintheark,,frima_s,8,idle,yan_s,6,idle,rapi_s,4,idle,liter_s,2,idle,neon_s,12,idle,pepper_s,14,idle,mary_s,16,think
event_bluewaterisland2_02_e_2,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_2,True,,XS_20,XS_20,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_3,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_3,True,,XS_20,XS_20,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_4,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_4,True,,XS_20,XS_20,1.0,,,,8,idle,,6,idle,,4,idle,,2,no,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_5,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_5,True,,XS_20,XS_20,1.0,,,,8,idle,,6,idle,,4,idle,,2,no,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_6,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_6,True,,XS_20,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,delight,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_7,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_7,True,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,delight,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_8,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_8,True,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,delight,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_9,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_9,True,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_10,40021,event_bluewaterisland2_02_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_02_e_10,True,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_11,40021,event_bluewaterisland2_02_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_02_e_11,False,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_12,40021,event_bluewaterisland2_02_e,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland2_02_e_12,True,,3,3,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_13,40021,event_bluewaterisland2_02_e,Speech,volt,volt,Locale_SubScenario:event_bluewaterisland2_02_e_13,True,,3,3,1.0,,sfx_scn_dogbark,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_14,40021,event_bluewaterisland2_02_e,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland2_02_e_14,True,,3,7,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_15,40021,event_bluewaterisland2_02_e,Speech,frima_s,frima_s,Locale_SubScenario:event_bluewaterisland2_02_e_15,True,,7,7,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_16,40021,event_bluewaterisland2_02_e,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland2_02_e_16,True,,7,7,1.0,,,,8,idle,,6,no,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_17,40021,event_bluewaterisland2_02_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_02_e_17,False,,XS_120,XS_120,1.0,,,,8,idle,,6,no,,4,idle,,2,idle,,12,idle,,14,idle,,16,think
event_bluewaterisland2_02_e_18,40021,event_bluewaterisland2_02_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_02_e_18,True,,XS_120,XS_120,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,16,think
event_bluewaterisland2_02_e_19,40021,event_bluewaterisland2_02_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_02_e_19,True,,XS_120,13,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,delight,,14,shy,,16,think
event_bluewaterisland2_02_e_20,40021,event_bluewaterisland2_02_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_02_e_20,True,,13,13,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,shy,,16,think
event_bluewaterisland2_02_e_21,40021,event_bluewaterisland2_02_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_02_e_21,False,,13,13,1.0,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,shy,,16,think
