id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_foolburstday_01_1,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_1,False,CommanderRoom,S_100,1,1.0,bgm_story_breakaway,,,,,,,,,,,
event_foolburstday_01_2,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_2,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_3,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_3,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_4,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_4,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_5,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_5,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_6,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_6,False,,1,1,1.0,none,,,,,,,,,,,
event_foolburstday_01_7,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_7,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_8,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_8,False,,1,1,1.0,,,,,,,,,,,,
event_foolburstday_01_9,130007,event_foolburstday_01,Speech,Locale_SubScenario:event_foolburstday_01_9,True,,1,S_10,1.0,bgm_story_tepidappleade,mechashifty,mechashifty,mechashifty,1,idle,,,,,,
event_foolburstday_01_10,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_10,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_01_11,130007,event_foolburstday_01,Speech,Locale_SubScenario:event_foolburstday_01_11,True,,S_10,S_10,1.0,,mechashifty,mechashifty,,1,idle,,,,,,
event_foolburstday_01_12,130007,event_foolburstday_01,Self,Locale_SubScenario:event_foolburstday_01_12,False,,S_10,S_10,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_01_13,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_13,False,,S_10,S_100,1.0,,mechashifty,,,1,idle,,,,,,
event_foolburstday_01_14,130007,event_foolburstday_01,Monologue,Locale_SubScenario:event_foolburstday_01_14,False,,S_100,S_100,1.0,,mechashifty,,,1,idle,,,,,,
