id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_darkhero_05_e_1,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_1,False,Jail,S_20,S_20,1.0,bgm_story_fairytalesend_if,,,,elegg,2,think,,,
event_darkhero_05_e_2,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_2,False,,S_20,S_20,1.0,,,,,,2,think,,,
event_darkhero_05_e_3,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_3,True,,S_20,S_20,1.0,,elegg,,,,2,think,,,
event_darkhero_05_e_4,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_4,False,,S_20,2,1.0,,elegg,,,,2,think,,,
event_darkhero_05_e_5,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_5,True,,2,2,1.0,,elegg,,,,2,think,,,
event_darkhero_05_e_6,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_6,False,,2,2,1.0,,,,,,2,think,,,
event_darkhero_05_e_7,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_7,False,,2,2,1.0,,maiden,,,,2,think,,,
event_darkhero_05_e_8,40047,event_darkhero_05_e,Narration,maiden,Locale_SubScenario:event_darkhero_05_e_8,False,,2,1,1.0,,,,,,2,think,maiden,12,idle
event_darkhero_05_e_9,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_9,True,,1,1,1.0,,elegg,,,,2,surprise,,12,idle
event_darkhero_05_e_10,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_10,True,,1,1,1.0,,elegg,,,,2,surprise,,12,idle
event_darkhero_05_e_11,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_11,True,,1,1,1.0,,elegg,,,,2,surprise,,12,idle
event_darkhero_05_e_12,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_12,True,,1,1,1.0,,maiden,,,,2,surprise,,12,idle
event_darkhero_05_e_13,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_13,True,,1,1,1.0,,maiden,,,,2,surprise,,12,idle
event_darkhero_05_e_14,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_14,True,,1,1,1.0,,maiden,,,,2,surprise,,12,idle
event_darkhero_05_e_15,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_15,True,,1,1,1.0,,elegg,,,,2,surprise,,12,idle
event_darkhero_05_e_16,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_16,True,,1,1,1.0,,maiden,,,,2,surprise,,12,idle
event_darkhero_05_e_17,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_17,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_18,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_18,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_19,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_19,True,,1,1,1.0,,elegg,,,,2,delight,,12,idle
event_darkhero_05_e_20,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_20,True,,1,S_120,1.0,,maiden,,,,2,delight,,12,idle
event_darkhero_05_e_21,40047,event_darkhero_05_e,Narration,maiden,Locale_SubScenario:event_darkhero_05_e_21,False,,S_120,S_120,1.0,,,,,,2,delight,,12,idle
event_darkhero_05_e_22,40047,event_darkhero_05_e,Narration,maiden,Locale_SubScenario:event_darkhero_05_e_22,False,,S_120,S_120,1.0,,,,,,2,delight,,12,idle
event_darkhero_05_e_23,40047,event_darkhero_05_e,Narration,maiden,Locale_SubScenario:event_darkhero_05_e_23,False,,S_120,S_20,1.0,,,,,,2,delight,,12,idle
event_darkhero_05_e_24,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_24,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_25,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_25,True,,S_20,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_26,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_26,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_27,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_27,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_28,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_28,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_29,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_29,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_30,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_30,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_31,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_31,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_32,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_32,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_33,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_33,True,,1,S_120,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_34,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_34,True,,S_120,S_120,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_35,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_35,True,,S_120,S_120,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_36,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_36,True,,S_120,S_120,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_37,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_37,True,,S_120,S_120,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_38,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_38,True,,S_120,S_20,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_39,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_39,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_40,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_40,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_41,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_41,False,,S_20,S_20,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_42,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_42,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_43,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_43,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,idle
