id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_icedragonsaga2_02_s_1,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_1,True,DiningRoom_n,4,4,1.0,event_bgm_icedragonsaga_darkness,,,,mustang,4,idle,,,,,,,,,,,,,
event_icedragonsaga2_02_s_2,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_2,True,,4,4,1.0,,,,,,4,idle,,,,,,,,,,,,,
event_icedragonsaga2_02_s_3,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_3,True,,4,4,1.0,,,,,,4,idle,,,,,,,,,,,,,
event_icedragonsaga2_02_s_4,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_4,True,,4,L_40,0.5,,,,,,4,delight,,,,,,,,,,,,,
event_icedragonsaga2_02_s_5,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_5,True,,L_40,L_40,1.0,,,,,,4,delight,,,,,,,,,,,,,
event_icedragonsaga2_02_s_6,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_6,True,,L_40,L_40,1.0,,,,,,4,delight,,,,,,,,,,,,,
event_icedragonsaga2_02_s_7,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_7,True,,L_40,L_40,1.0,,,,,,4,angry,,,,,,,,,,,,,
event_icedragonsaga2_02_s_8,40065,event_icedragonsaga2_02_s,Speech,mustang,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_8,True,,L_40,L_40,1.0,,,,,,4,angry,,,,,,,,,,,,,
event_icedragonsaga2_02_s_9,40065,event_icedragonsaga2_02_s,Speech,guillotine_w,mustang,Locale_MainScenario:event_icedragonsaga2_02_s_9,False,,L_40,1,0.7,,,,,,4,angry,,guillotine_w,2,idle,,maiden_w,12,no,,,,,
event_icedragonsaga2_02_s_10,40065,event_icedragonsaga2_02_s,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_02_s_10,True,,1,XS_20,1.0,,,,,,4,surprise,,,2,delight,,,12,no,,,,,
event_icedragonsaga2_02_s_11,40065,event_icedragonsaga2_02_s,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_02_s_11,True,,XS_20,XS_20,1.0,,,,,,4,surprise,,,2,delight,,,12,no,,,,,
event_icedragonsaga2_02_s_12,40065,event_icedragonsaga2_02_s,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_02_s_12,True,,XS_20,XS_20,1.0,,,,,,4,surprise,,,2,delight,,,12,no,,,,,
