id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_ce004_2_01_s_1,40056,event_ce004_2_01_s,Narration,Locale_SubScenario:event_ce004_2_01_s_1,False,MassiveObject_1,1,1,1.0,event_bgm_ce004_nereculepas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_01_s_2,40056,event_ce004_2_01_s,Narration,Locale_SubScenario:event_ce004_2_01_s_2,False,,1,10,1.0,,sfx_scn_explosionhuge,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_01_s_3,40056,event_ce004_2_01_s,Monologue,Locale_SubScenario:event_ce004_2_01_s_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_01_s_4,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_4,True,WasteLand_04,2,2,1.0,,,,eunhwa,eunhwa,emma,5,worry,eunhwa,3,angry,laplace,1,shy,maxwell,13,angry,frima,15,idle,sugar,17,idle,,,,,,
event_ce004_2_01_s_5,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_5,True,,2,2,1.0,,,,laplace,laplace,,5,worry,,3,angry,,1,shy,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_6,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_6,True,,2,130,0.5,,,,maxwell,maxwell,,5,worry,,3,angry,,1,shy,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_7,40056,event_ce004_2_01_s,Narration,Locale_SubScenario:event_ce004_2_01_s_7,False,,black,black,1.0,,sfx_scn_eba004charge,Low_2,maxwell,,,5,worry,,3,angry,,1,shy,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_8,40056,event_ce004_2_01_s,Monologue,Locale_SubScenario:event_ce004_2_01_s_8,False,,black,black,1.0,,,,maxwell,,,5,worry,,3,idle,,1,shy,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_9,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_9,True,,4,4,1.0,,,,emma,emma,,5,worry,,3,idle,,1,shy,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_10,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_10,True,,4,2,1.0,,,,laplace,laplace,,5,worry,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_11,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_11,True,,2,2,1.0,,,,eunhwa,eunhwa,,5,worry,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,,,,,
event_ce004_2_01_s_12,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_12,True,,160,16,1.0,,,,frima,frima,,5,worry,,3,idle,,1,angry,,13,angry,,15,angry,,17,idle,,,,,,
event_ce004_2_01_s_13,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_13,True,,16,XS_170,0.5,,,,sugar,sugar,,5,worry,,3,idle,,1,angry,,13,angry,,15,angry,,17,surprise,,,,,,
event_ce004_2_01_s_14,40056,event_ce004_2_01_s,Monologue,Locale_SubScenario:event_ce004_2_01_s_14,False,,black,black,1.0,,,,sugar,,,5,worry,,3,idle,,1,angry,,13,angry,,15,angry,,17,surprise,emma,eunhwa,laplace,maxwell,frima,sugar
event_ce004_2_01_s_15,40056,event_ce004_2_01_s,Narration,Locale_SubScenario:event_ce004_2_01_s_15,False,,black,black,1.0,,sfx_scn_heavybeam,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_01_s_16,40056,event_ce004_2_01_s,Monologue,Locale_SubScenario:event_ce004_2_01_s_16,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_01_s_17,40056,event_ce004_2_01_s,Monologue,Locale_SubScenario:event_ce004_2_01_s_17,False,SchoolCommandCenter,black,black,1.0,none,,,andersen,,andersen,5,idle,ingrid,3,idle,mustang,1,angry,,,,syuen,13,idle,,,,,,,,,
event_ce004_2_01_s_18,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_18,True,,2,2,1.0,bgm_mystery,,,ingrid,ingrid,,5,idle,,3,idle,,1,angry,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_19,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_19,True,,2,2,1.0,,,,mustang,mustang,,5,idle,,3,idle,,1,angry,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_20,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_20,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_21,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_21,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_22,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_22,True,,L_50,L_50,1.0,,,,enikk_op_l,enikk_op_l,,5,idle,,3,idle,,1,angry,enikk_op_l,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_23,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_23,True,,L_50,L_50,1.0,,,,enikk_op_l,enikk_op_l,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_24,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_24,True,,L_10,L_10,1.0,,,,mustang,mustang,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_25,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_25,True,,L_10,L_10,1.0,,,,mustang,mustang,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_26,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_26,True,,L_10,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_27,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_27,True,,L_30,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,think,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_28,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_28,True,,S_130,S_130,1.0,,,,syuen,syuen,,5,idle,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
