id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,jump_target,characters/0/hide_char_id
d_contents_voltroad_04_1,80403,d_contents_voltroad_04,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_04_1,False,volt,15,idle,Beach_s,black,black,1.0,none,,,,,,,,,,,,,,,
d_contents_voltroad_04_2,80403,d_contents_voltroad_04,Narration,Narration,Narration,Locale_SubScenario:d_contents_voltroad_04_2,False,,15,idle,,17,15,1.0,bgm_story_sunshinesorrow,sfx_scn_3step,,,,,,,,,,,,,,
d_contents_voltroad_04_3,80403,d_contents_voltroad_04,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_04_3,False,,15,idle,,15,13,1.0,,,rapi_s,13,idle,,,,,,,,,,,
d_contents_voltroad_04_4,80403,d_contents_voltroad_04,Speech,rapi_s,rapi,Locale_SubScenario:d_contents_voltroad_04_4,True,,15,idle,,13,130,1.0,,,,13,idle,,,,,,,,,,,
d_contents_voltroad_04_5,80403,d_contents_voltroad_04,Speech,yan_s,yan,Locale_SubScenario:d_contents_voltroad_04_5,True,,15,idle,,130,S_10,1.0,,,,13,idle,yan_s,1,no,,,,,,,,
d_contents_voltroad_04_6,80403,d_contents_voltroad_04,Speech,yan_s,yan,Locale_SubScenario:d_contents_voltroad_04_6,True,,15,idle,,S_10,S_10,1.0,,,,13,idle,,1,no,,,,,,,,
d_contents_voltroad_04_7,80403,d_contents_voltroad_04,Speech,neon_s,neon,Locale_SubScenario:d_contents_voltroad_04_7,True,,15,idle,,S_10,XS_30,1.0,,,,13,idle,,1,no,neon_s,3,angry,,,,,
d_contents_voltroad_04_8,80403,d_contents_voltroad_04,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_04_8,True,,15,idle,,XS_30,50,1.0,,,,13,idle,,1,no,,3,angry,frima_s,5,angry,,
d_contents_voltroad_04_9,80403,d_contents_voltroad_04,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_04_9,True,,15,idle,,50,50,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_10,80403,d_contents_voltroad_04,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_04_10,True,,15,idle,,50,50,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_11,80403,d_contents_voltroad_04,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_04_11,False,,15,idle,,50,XS_150,3.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_12,80403,d_contents_voltroad_04,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_04_12,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_13,80403,d_contents_voltroad_04,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_04_13,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_14,80403,d_contents_voltroad_04,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_04_14,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_15,80403,d_contents_voltroad_04,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_04_15,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_16,80403,d_contents_voltroad_04,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_04_16,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_17,80403,d_contents_voltroad_04,Self,,,Locale_SubScenario:d_contents_voltroad_04_17,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_18,80403,d_contents_voltroad_04,Speech,yan_s,yan,Locale_SubScenario:d_contents_voltroad_04_18,True,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_19,80403,d_contents_voltroad_04,Self,,,Locale_SubScenario:d_contents_voltroad_04_19,False,,15,idle,,XS_150,XS_150,1.0,,,,13,idle,,1,no,,3,angry,,5,angry,,
d_contents_voltroad_04_20,80403,d_contents_voltroad_04,Speech,frima_s,frima,Locale_SubScenario:d_contents_voltroad_04_20,True,,15,idle,,50,50,1.0,none,,,13,idle,,1,no,,3,angry,,5,angry,,
