id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_npc_day5_05_1,80903,snowfall_speech_npc_day5_05,Narration,Locale_SubScenario:snowfall_speech_npc_day5_05_1,False,mica_w,1,special,BambooForest_n,1,S_10,1.0,sfx_scn_foldednotetie,amb_so_bambooforest_3,event_bgm_neverland_snowflakes_night,,,,,
snowfall_speech_npc_day5_05_2,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_2,True,,1,special,,S_10,S_10,1.0,,,,mica_w,mica_w,,,
snowfall_speech_npc_day5_05_3,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_3,True,,1,special,,S_10,S_10,1.0,,,,mica_w,mica_w,,,
snowfall_speech_npc_day5_05_4,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_4,True,,1,special,,S_10,2,1.0,,,,lumi_01,lumi_01,lumi_01,3,idle
snowfall_speech_npc_day5_05_5,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_5,True,,1,delight,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_6,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_6,True,,1,delight,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_7,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_7,True,,1,idle,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_8,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_8,True,,1,idle,,2,2,1.0,,,,lumi_01,lumi_01,,3,idle
snowfall_speech_npc_day5_05_9,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_9,True,,1,idle,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_10,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_10,True,,1,idle,,2,2,1.0,,,,lumi_01,lumi_01,,3,idle
snowfall_speech_npc_day5_05_11,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_11,True,,1,delight,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_12,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_12,True,,1,idle,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_13,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_13,True,,1,idle,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_14,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_14,True,,1,idle,,2,2,1.0,,,,lumi_01,lumi_01,,3,idle
snowfall_speech_npc_day5_05_15,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_15,True,,1,idle,,2,2,1.0,,,,lumi_01,lumi_01,,3,idle
snowfall_speech_npc_day5_05_16,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_16,True,,1,idle,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_17,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_17,True,,1,delight,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_18,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_18,True,,1,delight,,2,2,1.0,,,,mica_w,mica_w,,3,idle
snowfall_speech_npc_day5_05_19,80903,snowfall_speech_npc_day5_05,Speech,Locale_SubScenario:snowfall_speech_npc_day5_05_19,True,,1,delight,,2,2,1.0,,,,lumi_01,lumi_01,,3,idle
snowfall_speech_npc_day5_05_20,80903,snowfall_speech_npc_day5_05,Narration,Locale_SubScenario:snowfall_speech_npc_day5_05_20,False,,1,delight,,black,black,1.0,,,,,,,3,idle
