id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,set_camera_shake,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_exnii2_06_s_1,40071,event_exnii2_06_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_06_s_1,True,ce005_03,13,idle,centi,15,idle,BattleShipBridge,event_exnii_talk_10,event_exnii_talk_10,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_2,40071,event_exnii2_06_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_06_s_2,True,,13,idle,,15,idle,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_3,40071,event_exnii2_06_s,Speech,centi,centi,Locale_SubScenario:event_exnii2_06_s_3,True,,13,idle,,15,delight,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_4,40071,event_exnii2_06_s,Speech,centi,centi,Locale_SubScenario:event_exnii2_06_s_4,True,,13,idle,,15,delight,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_5,40071,event_exnii2_06_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_06_s_5,True,,13,idle,,15,delight,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_6,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_6,True,,13,idle,,15,delight,,event_exnii_talk_10,event_exnii_talk_10,1.0,,ce004_03_03_op,OP_centerup,idle,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_7,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_7,True,,13,no,,15,delight,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,OP_centerup,idle,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_8,40071,event_exnii2_06_s,Narration,,,Locale_SubScenario:event_exnii2_06_s_8,False,,13,no,,15,delight,EzsUp_r,black,black,1.0,,,OP_centerup,idle,ce005_03,centi,ce004_03_03_op,,,,,,,,,,,,,,,
event_exnii2_06_s_9,40071,event_exnii2_06_s,Narration,,,Locale_SubScenario:event_exnii2_06_s_9,False,helm,13,idle,,,,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_10,40071,event_exnii2_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_06_s_10,True,,13,idle,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,,mast,1,idle,black,,,,,,,,,,,
event_exnii2_06_s_11,40071,event_exnii2_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_06_s_11,True,,13,idle,,,,,event_exnii_talk_05,event_exnii_talk_05,1.0,,laplace,7,idle,,,,,1,idle,,drake,5,idle,,,,,,,,
event_exnii2_06_s_12,40071,event_exnii2_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_06_s_12,True,,13,idle,,,,,event_exnii_talk_05,6,1.0,,,7,idle,,,,,1,delight,,,5,idle,,,,,,,,
event_exnii2_06_s_13,40071,event_exnii2_06_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_06_s_13,True,,13,idle,,,,,6,6,1.0,,,7,idle,,,,,1,delight,,,5,idle,maxwell,3,idle,,,,,
event_exnii2_06_s_14,40071,event_exnii2_06_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_06_s_14,True,,13,idle,,,,,6,70,1.0,,,7,idle,,,,,1,delight,,,5,idle,,3,idle,,,,,
event_exnii2_06_s_15,40071,event_exnii2_06_s,Speech,laplace,laplace,Locale_SubScenario:event_exnii2_06_s_15,True,,13,idle,,,,,70,70,1.0,,,7,delight,,,,,1,delight,,,5,idle,,3,idle,,,,,
event_exnii2_06_s_16,40071,event_exnii2_06_s,Narration,,,Locale_SubScenario:event_exnii2_06_s_16,False,,13,idle,,,,,70,6,1.0,,,7,delight,helm,,laplace,,1,angry2,,,5,idle,,3,idle,sfx_scn_windowbreak,Low_2,,,
event_exnii2_06_s_17,40071,event_exnii2_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_06_s_17,True,,,,,,,,6,event_exnii_talk_04,1.0,,,,,,,,,1,sad2,,,5,idle,,3,idle,,,,,
event_exnii2_06_s_18,40071,event_exnii2_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_06_s_18,True,,,,,,,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,1,sad2,,,5,idle,,3,idle,,,,,
event_exnii2_06_s_19,40071,event_exnii2_06_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_06_s_19,True,,,,,,,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,1,sad2,,,5,idle,,3,shy,,,,,
event_exnii2_06_s_20,40071,event_exnii2_06_s,Speech,drake,drake,Locale_SubScenario:event_exnii2_06_s_20,True,,,,,,,,event_exnii_talk_04,event_exnii_talk_01,1.0,,,,,,,,,1,sad2,,,5,delight,,3,shy,,,,,
event_exnii2_06_s_21,40071,event_exnii2_06_s,Speech,maxwell,maxwell,Locale_SubScenario:event_exnii2_06_s_21,True,helm,13,idle,,,,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,,,,1,sad2,,,5,delight,,3,shy,,,drake,,
event_exnii2_06_s_22,40071,event_exnii2_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_06_s_22,True,,13,idle,,,,,13,13,1.0,,,,,,,,,1,sad2,,,,,,3,shy,,,,maxwell,
event_exnii2_06_s_23,40071,event_exnii2_06_s,Speech,ce005_01_op,ce005_01_op,Locale_SubScenario:event_exnii2_06_s_23,True,,13,idle,,,,,13,13,1.0,,,,,,,,,1,idle,,ce005_01_op,OP_leftup,idle,,,,,,,,
event_exnii2_06_s_24,40071,event_exnii2_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_06_s_24,True,,13,idle,,,,,13,13,1.0,,,,,,,,,1,idle,,,OP_leftup,idle,,,,,,ce005_01_op,,
event_exnii2_06_s_25,40071,event_exnii2_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_06_s_25,True,,13,idle,,,,,13,1,1.0,,,,,,,,,1,idle,,,,,,,,,,,,
event_exnii2_06_s_26,40071,event_exnii2_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_06_s_26,True,,13,idle,,,,,1,1,1.0,,,,,helm,,,,1,idle,,,,,,,,,,,,
event_exnii2_06_s_27,40071,event_exnii2_06_s,Self,mast,,Locale_SubScenario:event_exnii2_06_s_27,False,rapi,13,idle,ce005_02_01,15,idle,,1,1,1.0,,liter,17,delight,,,,,1,idle,,anis,7,idle,neon,5,delight,,,,,
event_exnii2_06_s_28,40071,event_exnii2_06_s,Self,mast,,Locale_SubScenario:event_exnii2_06_s_28,False,,13,idle,,15,idle,,1,1,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_29,40071,event_exnii2_06_s,Speech,ce005_02,ce005_02,Locale_SubScenario:event_exnii2_06_s_29,True,,13,idle,,15,idle,,1,event_exnii_talk_08,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_30,40071,event_exnii2_06_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_06_s_30,True,,13,idle,,15,idle,,event_exnii_talk_08,event_exnii_talk_08,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_31,40071,event_exnii2_06_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_06_s_31,True,,13,idle,,15,idle,,7,7,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_32,40071,event_exnii2_06_s,Speech,neon,neon,Locale_SubScenario:event_exnii2_06_s_32,True,,13,idle,,15,idle,,7,5,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_33,40071,event_exnii2_06_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_06_s_33,True,,13,idle,,15,idle,,17,170,1.0,,,17,delight,,,,,1,idle,,,7,idle,,5,delight,,,,,
event_exnii2_06_s_34,40071,event_exnii2_06_s,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_06_s_34,True,,13,idle,,15,battle,RedOcean_s_2,15,15,1.0,,,17,sorrow,,,,,1,idle,black,,7,idle,,5,delight,,,anis,neon,mast
event_exnii2_06_s_35,40071,event_exnii2_06_s,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_06_s_35,True,,13,idle,,15,battle,,15,15,1.0,,,17,sorrow,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_36,40071,event_exnii2_06_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_06_s_36,True,,13,angry,,15,battle,,13,13,1.0,,,17,sorrow,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_37,40071,event_exnii2_06_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_06_s_37,True,,13,angry,,15,battle,,17,17,1.0,,,17,sorrow,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_38,40071,event_exnii2_06_s,Speech,liter,liter,Locale_SubScenario:event_exnii2_06_s_38,True,,13,angry,,15,battle,,17,17,1.0,,,17,sorrow,,,,,,,,,,,,,,,,,,
event_exnii2_06_s_39,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_39,True,,13,angry,,15,battle,,17,17,1.0,,,17,sorrow,,,,,,,,,,,ce004_03_03_op,OP_centerup,idle,,,,,
event_exnii2_06_s_40,40071,event_exnii2_06_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_06_s_40,True,,13,angry,,15,battle,EventScene_ce005_01_3,1,1,1.0,,,17,sorrow,rapi,ce005_02_01,liter,,,,black,shifty_r,OP_rightup,angry,,OP_centerup,idle,,,,ce004_03_03_op,
event_exnii2_06_s_41,40071,event_exnii2_06_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_06_s_41,True,,,,,,,,1,1,1.0,,,,,,,,,,,,,OP_rightup,angry,,,,,,,,
event_exnii2_06_s_42,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_42,True,,,,,,,,1,100,1.0,,,,,,,,,,,,,OP_rightup,angry,ce004_03_03_op,OP_centerup,idle,,,,,
event_exnii2_06_s_43,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_43,True,,,,,,,,100,100,1.0,,,,,,,,,,,,,OP_rightup,angry,,OP_centerup,idle,,,,,
event_exnii2_06_s_44,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_44,True,,,,,,,,100,100,1.0,,,,,,,,,,,,,OP_rightup,angry,,OP_centerup,go,,,,,
event_exnii2_06_s_45,40071,event_exnii2_06_s,Speech,ce004_03_03_op,ce004_03_03_op,Locale_SubScenario:event_exnii2_06_s_45,True,,,,,,,,100,100,1.0,,,,,,,,,,,,,OP_rightup,angry,,OP_centerup,go,,,,,
