id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade
event_wisdomspring_06_e_1,40068,event_wisdomspring_06_e,Narration,Locale_SubScenario:event_wisdomspring_06_e_1,False,Hospital_n,black,black,1.0,sfx_scn_keyboard,none,,,,,,
event_wisdomspring_06_e_2,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_2,False,,black,black,1.0,,,,,,,,
event_wisdomspring_06_e_3,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_3,False,,black,black,1.0,,,,,,,,
event_wisdomspring_06_e_4,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_4,False,,black,black,1.0,,,,,,,,
event_wisdomspring_06_e_5,40068,event_wisdomspring_06_e,Narration,Locale_SubScenario:event_wisdomspring_06_e_5,False,,black,black,1.0,sfx_scn_waterdropmany,,,,,,,
event_wisdomspring_06_e_6,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_6,False,,black,black,1.0,,,,,,,,
event_wisdomspring_06_e_7,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_7,False,,1,1,1.0,,,,,,,,
event_wisdomspring_06_e_8,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_8,False,,1,1,1.0,,,,,,,,
event_wisdomspring_06_e_9,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_9,False,,1,10,1.0,,,,,,,,
event_wisdomspring_06_e_10,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_10,False,,10,10,1.0,,,,,,,,
event_wisdomspring_06_e_11,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_11,True,,10,10,1.0,,bgm_story_monochrome,mana,mana,mana,1,idle,
event_wisdomspring_06_e_12,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_12,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_13,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_13,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_14,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_14,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_15,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_15,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_16,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_16,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_17,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_17,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_18,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_18,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_19,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_19,False,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_20,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_20,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_21,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_21,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_22,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_22,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_23,40068,event_wisdomspring_06_e,Monologue,Locale_SubScenario:event_wisdomspring_06_e_23,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_24,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_24,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_25,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_25,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_26,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_26,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_27,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_27,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_28,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_28,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_29,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_29,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_30,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_30,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_31,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_31,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_32,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_32,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_33,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_33,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_34,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_34,True,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_35,40068,event_wisdomspring_06_e,Self,Locale_SubScenario:event_wisdomspring_06_e_35,False,,10,10,1.0,,,mana,,,1,idle,
event_wisdomspring_06_e_36,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_36,False,,10,10,1.0,,,mana,mana,,1,idle,
event_wisdomspring_06_e_37,40068,event_wisdomspring_06_e,Speech,Locale_SubScenario:event_wisdomspring_06_e_37,True,,10,10,1.0,,,mana,mana,,1,idle,
