id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_seayouagain2_01_s_1,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_1,True,Corridor,1,1,1.0,bgm_story_fairytalesend_if,,,mast,1,sad2,anchor,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_2,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_2,True,,1,S_10,1.0,,,,,1,sad2,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_3,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_3,True,,S_10,XS_30,1.0,,,,,1,sad2,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_4,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_4,True,,XS_30,XS_30,1.0,,,,,1,sad2,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_5,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_5,True,,XS_30,XS_30,1.0,,,,,1,sad2,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_6,40025,event_seayouagain2_01_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain2_01_s_6,True,,XS_30,31,1.0,,,,,1,sad2,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_7,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_7,True,,31,31,1.0,,,,,1,surprise,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_8,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_8,True,,31,31,1.0,,,,,1,surprise,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_9,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_9,True,,31,31,1.0,,,,,1,surprise,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_10,40025,event_seayouagain2_01_s,Narration,,Narration,Locale_MainScenario:event_seayouagain2_01_s_10,False,,black,black,1.0,,,,,1,surprise,,3,sad,,,,,,,,,,,,
event_seayouagain2_01_s_11,40025,event_seayouagain2_01_s,Narration,,Narration,Locale_MainScenario:event_seayouagain2_01_s_11,False,Office,black,black,1.0,,sfx_scn_autodooropen,,,1,surprise,,3,sad,andersen,13,idle,,burningum,15,idle,,ingrid,17,idle,
event_seayouagain2_01_s_12,40025,event_seayouagain2_01_s,Speech,ingrid,ingrid,Locale_MainScenario:event_seayouagain2_01_s_12,False,,L_170,L_170,1.0,,,,,1,idle2,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_13,40025,event_seayouagain2_01_s,Speech,andersen,andersen,Locale_MainScenario:event_seayouagain2_01_s_13,True,,L_130,L_130,1.0,,,,,1,idle2,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_14,40025,event_seayouagain2_01_s,Speech,burningum,burningum,Locale_MainScenario:event_seayouagain2_01_s_14,True,,150,150,1.0,,,,,1,idle2,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_15,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_15,False,,S_10,S_10,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_16,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_16,True,,S_10,S_10,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_17,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_17,True,,S_10,XS_30,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_18,40025,event_seayouagain2_01_s,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_01_s_18,True,,XS_30,XS_30,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_19,40025,event_seayouagain2_01_s,Speech,andersen,andersen,Locale_MainScenario:event_seayouagain2_01_s_19,True,,XS_30,L_130,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_20,40025,event_seayouagain2_01_s,Speech,andersen,andersen,Locale_MainScenario:event_seayouagain2_01_s_20,True,,L_130,L_130,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_21,40025,event_seayouagain2_01_s,Speech,andersen,andersen,Locale_MainScenario:event_seayouagain2_01_s_21,True,,L_130,L_130,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
event_seayouagain2_01_s_22,40025,event_seayouagain2_01_s,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_01_s_22,False,,31,31,1.0,,,,,1,surprise,,3,sad,,13,idle,,,15,idle,,,17,idle,
