id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_ce02_3_intermission_01_1,40027,event_ce02_3_intermission_01,Speech,p12,p12,Locale_SubScenario:event_ce02_3_intermission_01_1,True,RuinIndoor,13,13,1.0,none,,,p12,13,idle,ce_02_02,1,think,,,,,,,,,
event_ce02_3_intermission_01_2,40027,event_ce02_3_intermission_01,Speech,p12,p12,Locale_SubScenario:event_ce02_3_intermission_01_2,True,,13,13,1.0,,,,,13,idle,,1,think,,,,,,,,,
event_ce02_3_intermission_01_3,40027,event_ce02_3_intermission_01,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_intermission_01_3,False,,10,10,1.0,,,,,13,idle,,1,think,,,,,,,,,
event_ce02_3_intermission_01_4,40027,event_ce02_3_intermission_01,Narration,,,Locale_SubScenario:event_ce02_3_intermission_01_4,False,,10,1,1.0,,sfx_scn_drawingsword,,,13,idle,,1,"expression_0,idle",,,,,,,,,
event_ce02_3_intermission_01_5,40027,event_ce02_3_intermission_01,Monologue,,,Locale_SubScenario:event_ce02_3_intermission_01_5,False,,1,12,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_6,40027,event_ce02_3_intermission_01,Speech,p12,p12,Locale_SubScenario:event_ce02_3_intermission_01_6,False,,12,12,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_7,40027,event_ce02_3_intermission_01,Speech,p12,p12,Locale_SubScenario:event_ce02_3_intermission_01_7,True,,12,12,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_8,40027,event_ce02_3_intermission_01,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_intermission_01_8,True,,12,10,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_9,40027,event_ce02_3_intermission_01,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_intermission_01_9,True,,10,10,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_10,40027,event_ce02_3_intermission_01,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_intermission_01_10,True,,10,10,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_11,40027,event_ce02_3_intermission_01,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_intermission_01_11,True,,10,10,1.0,,,,,13,idle,,1,idle,,,,,,,,,
event_ce02_3_intermission_01_12,40027,event_ce02_3_intermission_01,Speech,p12,p12,Locale_SubScenario:event_ce02_3_intermission_01_12,True,,10,130,1.0,event_bgm_ce002_story_1,,,,13,idle,,1,idle,,,,,,,,,
