id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/3/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,characters/5/hide_char_id
event_icedragonsaga1_05_e_1,40064,event_icedragonsaga1_05_e,Narration,Locale_MainScenario:event_icedragonsaga1_05_e_1,False,volume_c,5,idle,maiden_w,13,worry,guillotine_w_no,15,idle,DiningRoom_d,black,black,1.0,sfx_scn_smashguitar,bgm_story_boogienight,,,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_2,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_2,True,,5,idle,,13,worry,,15,idle,,14,14,1.0,,,maiden_w,maiden_w,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_3,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_3,True,,5,idle,,13,worry,,15,delight,,14,14,1.0,,,guillotine_w_no,guillotine_w_no,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_4,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_4,True,,5,idle,,13,surprise,,15,delight,,14,14,1.0,,,maiden_w,maiden_w,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_5,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_5,True,,5,idle,,13,surprise,,15,delight,,14,14,1.0,,,guillotine_w_no,guillotine_w_no,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_6,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_6,True,,5,idle,,13,surprise,,15,delight,,S_50,S_50,1.0,,,volume_c,volume_c,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_7,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_7,True,,5,delight,,13,worry,,15,delight,,S_50,S_50,1.0,,,volume_c,volume_c,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_8,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_8,True,,5,delight,,13,worry,,15,delight,,15,XS_150,1.0,,,guillotine_w_no,guillotine_w_no,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_9,40064,event_icedragonsaga1_05_e,Speech,Locale_MainScenario:event_icedragonsaga1_05_e_9,True,,5,delight,,13,worry,,15,delight,,XS_150,XS_150,1.0,,,guillotine_w_no,guillotine_w_no,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_05_e_10,40064,event_icedragonsaga1_05_e,Self,Locale_MainScenario:event_icedragonsaga1_05_e_10,False,,5,delight,,13,worry,,15,delight,,XS_150,XS_150,1.0,,,guillotine_w_no,,,,,,,,,,,,,,,,,,,
