id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade
event_secretgarden_02_s_1,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_1,True,flora,1,sad,biscuit,13,delight,CityForest_03_d,XS_1300,XS_1300,1.0,bgm_inark,,,
event_secretgarden_02_s_2,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_2,True,,1,sad,,13,delight,,XS_1300,XS_1300,1.0,,,,
event_secretgarden_02_s_3,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_3,True,,1,sad,,13,sad,,XS_1300,XS_130,1.0,,,,
event_secretgarden_02_s_4,40063,event_secretgarden_02_s,Monologue,biscuit,,Locale_SubScenario:event_secretgarden_02_s_4,False,,1,sad,,13,sad,,XS_130,XS_130,1.0,,,,
event_secretgarden_02_s_5,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_5,True,,1,sad,,13,sad,,XS_130,113,1.0,,,,
event_secretgarden_02_s_6,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_6,True,,1,sad,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_7,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_7,True,,1,sad,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_8,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_8,True,,1,sad,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_9,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_9,True,,1,delight,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_10,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_10,True,,1,delight,,13,idle,,113,113,1.0,,,,
event_secretgarden_02_s_11,40063,event_secretgarden_02_s,Self,biscuit,,Locale_SubScenario:event_secretgarden_02_s_11,False,,1,delight,,13,idle,,113,113,1.0,,,,
event_secretgarden_02_s_12,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_12,True,,1,delight,,13,idle,,113,10,1.0,,,,
event_secretgarden_02_s_13,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_13,True,,1,sad,,13,idle,,10,10,1.0,,,,
event_secretgarden_02_s_14,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_14,True,,1,sad,,13,idle,,10,100,1.0,,,,
event_secretgarden_02_s_15,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_15,True,,1,sad,,13,sad,,100,XS_1300,1.0,,,,
event_secretgarden_02_s_16,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_16,True,,1,sad,,13,angry,,XS_1300,XS_1300,1.0,,,,
event_secretgarden_02_s_17,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_17,True,,1,sad,,13,angry,,XS_1300,XS_1300,1.0,,,,
event_secretgarden_02_s_18,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_18,True,,1,sad,,13,angry,,XS_1300,XS_1300,1.0,,,,
event_secretgarden_02_s_19,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_19,True,,1,sad,,13,angry,,XS_1300,XS_1300,1.0,,,,
event_secretgarden_02_s_20,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_20,True,,1,sad,,13,angry,,XS_1300,XS_130,1.0,,,,
event_secretgarden_02_s_21,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_21,False,,1,surprise,,13,angry,,XS_130,113,1.0,,,,
event_secretgarden_02_s_22,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_22,True,,1,surprise,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_23,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_23,True,,1,shy,,13,sad,,113,113,1.0,,,,
event_secretgarden_02_s_24,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_24,True,,1,shy,,13,idle,,113,113,1.0,,,,
event_secretgarden_02_s_25,40063,event_secretgarden_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_02_s_25,True,,1,shy,,13,idle,,113,113,1.0,,,,
event_secretgarden_02_s_26,40063,event_secretgarden_02_s,Speech,flora,flora,Locale_SubScenario:event_secretgarden_02_s_26,True,,1,shy,,13,idle,,113,113,1.0,,,,
event_secretgarden_02_s_27,40063,event_secretgarden_02_s,Choice,flora,,Locale_SubScenario:event_secretgarden_02_s_27,False,,1,shy,,13,idle,,113,113,1.0,,event_secretgarden_02_s_29,,
event_secretgarden_02_s_28,40063,event_secretgarden_02_s,Choice,flora,,Locale_SubScenario:event_secretgarden_02_s_28,False,,1,shy,,13,idle,,113,113,1.0,,event_secretgarden_02_s_30,,
