id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,play_sound,set_camera_shake
event_exnii1_06_s_1,40070,event_exnii1_06_s,Speech,centi,centi,Locale_SubScenario:event_exnii1_06_s_1,True,mast,7,delight,anchor,5,delight,helm,3,delight,centi,1,idle,ce005_01,9,idle,EzsUp,10,event_exnii_talk_06,1.0,event_bgm_ce004_nouvellesortie,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_2,40070,event_exnii1_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii1_06_s_2,True,,7,delight,,5,delight,,3,delight,,1,idle,,9,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_3,40070,event_exnii1_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii1_06_s_3,True,,7,delight,,5,delight,,3,delight,,1,idle,,9,idle,,event_exnii_talk_06,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_4,40070,event_exnii1_06_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_06_s_4,True,,7,delight,,5,delight,,3,idle,,1,idle,,9,idle,,7,event_exnii_talk_07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_5,40070,event_exnii1_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii1_06_s_5,True,,7,delight,,5,delight,,3,idle,,1,idle,,9,idle,,event_exnii_talk_07,event_exnii_talk_07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_6,40070,event_exnii1_06_s,Speech,mast,mast,Locale_SubScenario:event_exnii1_06_s_6,True,,7,delight,,5,delight,,3,idle,,1,idle,,9,idle,,event_exnii_talk_07,event_exnii_talk_07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_7,40070,event_exnii1_06_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_06_s_7,True,,7,delight,,5,delight,,3,idle,,1,idle,,9,surprise,,event_exnii_talk_07,event_exnii_talk_07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_8,40070,event_exnii1_06_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii1_06_s_8,True,,7,delight,,5,delight,,3,idle,,1,idle,,9,idle,,event_exnii_talk_07,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_9,40070,event_exnii1_06_s,Narration,ce005_01,,Locale_SubScenario:event_exnii1_06_s_9,False,,7,idle,,5,idle,,3,idle,,1,idle,,9,idle,,9,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_10,40070,event_exnii1_06_s,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_06_s_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,9,idle,,9,90,1.0,,anchor,helm,centi,,,,,,,,,,,,,,,,,,,,,
event_exnii1_06_s_11,40070,event_exnii1_06_s,Self,helm,,Locale_SubScenario:event_exnii1_06_s_11,False,,7,idle,helm,5,idle,rapi,3,idle,anis,1,idle,,17,idle,,black,black,1.0,,,,,pepper,9,idle,neon,13,idle,ce005_02,15,idle,ce005_03,19,idle,black,,,,,,,,
event_exnii1_06_s_12,40070,event_exnii1_06_s,Speech,helm,helm,Locale_SubScenario:event_exnii1_06_s_12,True,,7,idle,,5,"expression_0,idle",,3,idle,,1,idle,,17,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,9,idle,,13,idle,,15,idle,,19,idle,black,,,,,,,,
event_exnii1_06_s_13,40070,event_exnii1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_06_s_13,True,,7,idle,,5,idle,,3,"expression_0,idle",,1,idle,,17,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,,,,9,idle,,13,idle,,15,idle,,19,idle,,,,,,,,,
