id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,jump_target,set_camera_shake,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_killthelord_03_e_1,40043,event_killthelord_03_e,Narration,d_w,Locale_SubScenario:event_killthelord_03_e_1,False,Corridor,10,10,1.0,bgm_story_backtonormal,,,,,,,d_w,1,special,,,,,,,,,,,
event_killthelord_03_e_2,40043,event_killthelord_03_e,Self,d_w,Locale_SubScenario:event_killthelord_03_e_2,False,,10,10,1.0,,,,,,,,,1,special,,,,,,,,,,,
event_killthelord_03_e_3,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_3,True,,10,10,1.0,,d_w,,,,,,,1,special,,,,,,,,,,,
event_killthelord_03_e_4,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_4,True,,10,10,1.0,,d_w,,,,,,,1,special,,,,,,,,,,,
event_killthelord_03_e_5,40043,event_killthelord_03_e,Self,d_w,Locale_SubScenario:event_killthelord_03_e_5,False,,10,10,1.0,,,,,,,,,1,special,,,,,,,,,,,
event_killthelord_03_e_6,40043,event_killthelord_03_e,Narration,k,Locale_SubScenario:event_killthelord_03_e_6,False,Hotel_n,black,black,1.0,none,,sfx_scn_dooropenfast,,,,,,1,special,k,3,idle,,,,,,,,
event_killthelord_03_e_7,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_7,True,,1,2,1.0,bgm_theruinedcity,k,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_8,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_8,True,,2,2,1.0,,k,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_9,40043,event_killthelord_03_e,Self,k,Locale_SubScenario:event_killthelord_03_e_9,False,,2,2,1.0,,,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_10,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_10,True,,2,S_30,1.0,,k,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_11,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_11,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,delight,,,,,,,,
event_killthelord_03_e_12,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_12,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,delight,,,,,,,,
event_killthelord_03_e_13,40043,event_killthelord_03_e,Choice,k,Locale_SubScenario:event_killthelord_03_e_13,False,,S_30,S_30,1.0,,,,event_killthelord_03_e_15,,,,,1,special,,3,delight,,,,,,,,
event_killthelord_03_e_14,40043,event_killthelord_03_e,Choice,k,Locale_SubScenario:event_killthelord_03_e_14,False,,S_30,S_30,1.0,,,,event_killthelord_03_e_15,,,,,1,special,,3,delight,,,,,,,,
event_killthelord_03_e_15,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_15,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,think,,,,,,,,
event_killthelord_03_e_16,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_16,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_17,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_17,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_18,40043,event_killthelord_03_e,Self,k,Locale_SubScenario:event_killthelord_03_e_18,False,,S_30,S_30,1.0,,,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_19,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_19,True,,S_30,S_30,1.0,,k,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_20,40043,event_killthelord_03_e,Self,k,Locale_SubScenario:event_killthelord_03_e_20,False,,S_30,S_30,1.0,,,,,,,,,1,special,,3,idle,,,,,,,,
event_killthelord_03_e_21,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_21,False,,S_30,S_30,1.0,,k,,,,,,,1,think,,3,angry,,,,,,,,
event_killthelord_03_e_22,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_22,True,,S_30,S_30,1.0,,k,,,,,,,1,think,,3,idle,,,,,,,,
event_killthelord_03_e_23,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_23,True,,10,10,1.0,,d_w,,,,,,,1,void,,3,idle,,,,,,,,
event_killthelord_03_e_24,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_24,True,,10,10,1.0,,k,,,,,,,1,void,,3,surprise,,,,,,,,
event_killthelord_03_e_25,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_25,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_26,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_26,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_27,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_27,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_28,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_28,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_29,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_29,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_30,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_30,True,,10,10,1.0,,d_w,,,,,,,1,special,,3,surprise,,,,,,,,
event_killthelord_03_e_31,40043,event_killthelord_03_e,Speech,d_w,Locale_SubScenario:event_killthelord_03_e_31,False,,10,2,1.0,,d_w,,,,,,,1,think,,3,think,,,,,,,,
event_killthelord_03_e_32,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_32,False,,2,2,1.0,,k,,,,,,,1,think,,3,think,,,,,,,,
event_killthelord_03_e_33,40043,event_killthelord_03_e,Monologue,k,Locale_SubScenario:event_killthelord_03_e_33,False,,2,2,1.0,none,,,,,,,,1,think,,3,think,,,,,,,,
event_killthelord_03_e_34,40043,event_killthelord_03_e,Self,k,Locale_SubScenario:event_killthelord_03_e_34,False,,2,2,1.0,,,,,,,,,1,think,,3,think,,,,,,,,
event_killthelord_03_e_35,40043,event_killthelord_03_e,Speech,k,Locale_SubScenario:event_killthelord_03_e_35,True,,2,2,1.0,,k,,,,,,,1,think,,3,think,,,,,,,,
